๏ ปางพระหน่อขัตติยวงศ์พงศ์อาทิตย์	พระทัยคิดถึงสายสวาทไม่ขาดถวิล
สุริยงลงลับสิขรินทร์	พระภูมินทร์ไม่เห็นสาลิกามา
ก็รู้แน่ในอารมณ์ว่าสมรัก	ตั้งพระพักตร์ดูจันทร์ชั้นเวหา
ครั้นประถมยามชัยได้เวลา	พระตรัสสั่งอนุชาร่วมชีวัน
พี่จะลอบไปประโลมโฉมสมร	พระน้องนอนเสียเถิดพ่ออย่าผายผัน
พอสางแสงสุริยาจะมาพลัน	เจ้าไปด้วยแจ่มจันทร์จะอายใจ ฯ
๏ อรุณรับแล้วกำชับพระเชษฐา	อย่าอยู่ช้าสายแสงพระสุริย์ใส
เห็นนานนักน้องรักจะตามไป	ให้ถึงในปรางค์มาศปราสาททอง ฯ
๏ ได้ฟังน้องผ่องแผ้วพระทัยชื่น	สำราญรื่นยินดีไม่มีสอง
ประดับองค์ทรงเครื่องอันเรืองรอง	ค่อยเยื้องย่องยุรยาตรนาดพระกร
เหาะทะยานผ่านมาในอากาศ	หมายปราสาทพระธิดาดวงสมร
ด้วยแสงจันทร์แจ่มกระจ่างกลางอัมพร	พระลอยร่อนดูพลางเหมือนกลางวัง
เห็นต้นกร่างข้างปรางค์เหมือนคำนก	ให้อิ่มอกเหมือนในฤทัยหวัง
ค่อยร่อนลงตรงหน้าบัญชรบัง	เห็นแกลยังแย้มไว้ไม่ใส่ดาล
ประทีปทองส่องสว่างในปรางค์รัตน์	เงียบสงัดสุรเสียงไม่กล่าวสาร
พระค่อยผลักบัญชรรัตน์ชัชวาล	นฤบาลเยื้องย่องเข้าห้องปรางค์
ชื่นอารมณ์ชมฉากเป็นชั้นชั้น	ฝูงกำนัลหลับสนิทไม่อางขนาง
บ้างขาวขำดำเกลี้ยงเป็นปานกลาง	เพลิงกระจ่างจับหน้าเป็นนวลคม
พระพิศดูเครื่องสำอางที่วางไว้	เสี้ยมไม้ไผ่น้อยน้อยมาสอยผม
ลางนางหลับสนิทไม่ปิดนม	นัดถุ์ยาดมลืมหลับอยู่กับกาย
บ้างนอนวัดปัดโถเขม่าหก	หวีกระจกโถแป้งตะแคงหงาย
บ้างเล่นเพื่อนกอดน้องประคองกาย	พระชม้ายชม้อยชมทุกชั้นมา
ถึงห้องในใส่ล้วนลับแลฉาย	เขียนเป็นลายกำมะลอดูเลขา
เป็นรูปเรื่องเมืองฝรั่งชาวลังกา	ดูพาราแจ่มอร่ามงามระยับ
พระชมพลางทางรูดวิสูตรกั้น	เห็นอำพันกัลยานิทราหลับ
ให้ซึมซาบวาบใจพระทัยวับ	หยุดประทับบนแท่นที่บรรทม
ลงนั่งแอบแนบองค์นุชนาฏ	พิศวาสใจเพียงจะเอียงล่ม
พระอิงแอบแนบน้องประคองชม	เจ้างามคมขาวขำล้ำวิไล
โอษฐ์สะอาดตะละชาดบรรจงจิ้ม	เหมือนจะยิ้มแย้มรับทั้งหลับใหล
ศอระหงดังบุหรงสำหรับไพร	พระขนงโก่งสุดนัยนานาง
นิ้วพระหัตถ์ทัดเทียนลอออ่อน	ลำพระกรกลมละอองทั้งสองข้าง
เล็บแฉล้มแช่มช้อยดังจัดวาง	ทั้งสองปรางเปล่งนวลชวนให้เชย
ทั้งสองถันสันทัดดอกบัวหลวง	เป็นพุ่มพวงงามสุดแรกผุดเผย
พลางประคองต้องเต้ามณฑาเชย	เจ้าพี่เอ๋ยนอนนิ่งไม่ติงองค์
โอบพระกรช้อนอุ้มแล้วจุมพิต	พระทรงฤทธิ์ปลุกชวนนวลหง
โฉมอำพันมาลาผวาองค์	เห็นพระทรงฤทธิไกรวิไลงาม
เบือนสะบัดหัตถาผวาหวาด	ลงจากอาสน์เมียงเมินให้เขินขาม
พระกุมกรวอนว่าพะงางาม	ขอฝากความรักเจ้าอย่าเฝ้าเคือง
กุศลพี่ชี้ช่วยอำนวยชัก	ให้สมรักชิดเชื้อแม่เนื้อเหลือง
มาอยู่สวนโศกศัลย์ถึงขวัญเมือง	พี่ร่างเรื่องให้สาลิกามา
ขอเชิญโฉมวรนุชสุดสวาท	มาร่วมอาสน์บรรจถรณ์อันเลขา
อย่าหวาดหวั่นพรั่นใจนางไฉยา	พี่หมายมาฝากชีวันกับขวัญใจ ฯ
๏ นางฟังสารหวานล้ำคำละม่อม	แจ้งว่าจอมจักรพรรดิพิสมัย
นางชม้ายชายดูพระภูวไนย	งามวิไลดังพระจันทร์อันเจริญ
พอเนตรน้องต้องเนตรพระภูวนาถ	สุดสวาทม่อยหมางระคางเขิน
เสียวกระสันหวั่นไหวพระทัยสะเทิ้น	ชม้อยเมินตอบพจมานพลัน
น่าสำรวลที่มาชวนขึ้นแท่นรัตน์	พระมาจัดแจงไว้เมื่อไรนั่น
บรรจถรณ์เคยนอนอยู่ทุกวัน	มาบุกบั่นข่มเหงไม่เกรงใจ
ภูวนาถมาดหมายฝากชีวิต	เมื่อดับจิตเถิดจะบอกหนทางให้
ที่นี่เคยหรือมาล่วงชะล่าใจ	ไม่กลับไปก็จะร้องให้ก้องดัง ฯ
๏ นิจจาน้องจะมาร้องเอาคนรัก	ได้พบพักตร์อย่าขับไม่กลับหลัง
พี่รักเจ้าจริงจริงอย่าชิงชัง	จะร้องดังก็ไม่ร้างนิราศจร
ถึงตัวตายจะให้ชายเขาลือชื่อ	ตลอดลือว่าได้โลมโฉมสมร
พลางประคองต้องเต้านั้นเต็มกร	นางคมค้อนปลิดหัตถ์กระษัตรา
นี่อะไรไล่จูบประโลมต้อง	พี่รักน้องนั่นสิเจ้าจึงเข้าหา
ช่างไม่เก้อเลยมาเพ้อจำนรรจา	ตามจะว่าเถิดไม่วางเจ้าอย่างเดียว
หยิกด้วยเล็บหนาให้เจ็บตลอดจิต	แม้นไม่คิดแล้วจะหยิกให้เนื้อเขียว
จนเขาขับแล้วยังจับอยู่กลมเกลียว	อย่าโกรธเกรี้ยวไปเลยน้องจะหมองนวล
พระโอบอุ้มจุมพิตสนิทสนม	พระเชยชมโฉมนุชสุดสงวน
ปลอบประโลมโฉมน้องต้องกระบวน	ทั้งสองสรวลสุขเกษมประสานกร
ดังนาครัดดวงแก้วประคองกอด	พระหัตถ์สอดพุ่มพวงดวงสมร
ดังราหูจู่จับพระจันทร	ประชากรก็ประโคมระฆังดัง
บ้างกรายกรีดดีดเล็บฉะฉับเฉาะ	เอาขันเคาะฆ้องกระแตทั้งแตรสังข์
เสียงปืนตึงผึงตามกันสามตัง	ราหูยังหยุดยืนแล้วคืนคาย
พิรุณโรยโปรยปรอยลงย้อยปริบ	มณฑาทิพปทุมมาลย์บานขยาย
ภุมรินหอมกลิ่นลงเกลือกกาย	ทั้งสองฝ่ายสบกระบวนให้ยวนยี
ต่างหลงเชิงพระละเลิงด้วยชมโฉม	หลงประโลมลืมรักเจ้าปักษี
นางลืมสองจักรพรรดิสวัสดี	พระลืมที่สวนขวัญอนุชา
ฆ้องสำคัญลั่นทุ่มเข้าสิบทัศ	ประคองหัตถ์กอดแก้วขนิษฐา
ค่อยกระซิบกระซาบสั่งหลั่งน้ำตา	พี่จะลาแล้วนะน้องอย่าหมองใจ
