๏ พระฟังสารเสนาสารภาพ	ก็ซับทราบฤทัยพระโฉมศรี
จึงแย้มเยื้อนเอื้อนตรัสกับเสนี	ท่านผู้ปรีชามนต์เป็นพ้นใจ
พระบิตุรงค์ทรงฤทธิ์นั้นคิดฆ่า	ฝ่ายเทวาป้องปัดไม่ตัดษัย
เราก็ผิดคิดด่วนทำกวนใจ	ด้วยมิได้เกรงการที่ท่านมา
ทั้งสองข้างต่างกลุ้มอย่าคุมแค้น	ช่วยทูลแทนด้วยเถิดเจ้าเหมือนเราว่า
เราก็ปิ่นจักรพรรดิกระษัตรา	ชื่อโคบุตรสุริยาสวัสดี
ขอทูลลาพาน้องไปอุปภิเษก	เป็นองค์เอกอัคเรศเจริญศรี
ถ้าสมเด็จพระบิดาจะปรานี	เชิญภูมีจงแจ้งไปแต่งงาน
เมืองพาราณสีบุรีรัตน์	อยู่จังหวัดบูรพาทิศาสาร
สิบห้าวันจึงจะทันวิวาห์การ	แล้วอุ้มมิ่งเยาวมาลย์เสมอชนม์
ออกบัญชรร่อนลอยไปทางสวรรค์	กระจ่างจันทร์แจ่มฟ้าเวหาหน
สงสารนางร้างไปจากไพชยนต์	แสนกังวลห่วงหลังวังเวงใจ
ถึงบิดรมารดาคณาญาติ	นุชนาฏแสนเทวษน้ำเนตรไหล
พระทรงโฉมโลมนางให้สร่างใจ	มาถึงในสวนขวัญมิทันนาน
พระเคลื่อนคล้อยลอยลงตรงตำหนัก	ปลุกอรุณน้องรักยอดสงสาร
อรุณตื่นสรงพักตร์แสนสำราญ	พระแจ้งการเกิดภัยขึ้นในวัง ฯ
๏ อรุณฟังบังคมพระเชษฐา	แล้ววันทาอรไทเหมือนใจหวัง
นางรับหัตถ์วัฒนาด้วยวาจัง	อยู่พร้อมพรั่งสาลิกาสถาวร ฯ
๏ นกขุนทองป้องปีกขึ้นเหนือเกล้า	ลูกเห็นเจ้าแม่มาสโมสร
นางโอบอุ้มสกุณาให้อาวรณ์	พ่อตื่นนอนแล้วหรือพลอดฉะฉอดไป ฯ
๏ พระโคบุตรสุดแสนเกษมสันต์	เห็นแสงจันทร์จวนจะลับเหลี่ยมไศล
ไก่กระชั้นขันเร่งอโณทัย	ภูวไนยรับขวัญนางกัลยา
เอาแหวนน้อยของพระองค์บรรจงถอด	มาสวมสอดใส่นิ้วขนิษฐา
แล้วตรัสหยอกบอกสั่งกับพังงา	แม่รักษาธำมรงค์ไว้จงดี
