๏ บทนี้ข้าจะยกไว้ก่อน	จะกล่าวกลอนให้เรื่องเนื่องไปใหม่
มาข้าจะกล่าวบทไป	ถึงพระเจ้าพิชัยเชียงอินท์
เสด็จยังพระที่นั่งบัลลังก์รัตน์	พร้อมอนงค์นางกษัตริย์อันเฉิดฉิน
น้อมเศียรหมอบเฝ้าเจ้าธรณินทร์	รวยรื่นชื่นกลิ่นบำรุงใจ
แต่ละหน้าหน้านวลควรจะรัก	ผ่องพักตร์เป็นที่พิสมัย
เกล้าผมนมนางงามวิไล	อำไพผิวผ่องเพียงขวัญตา
แซมดอกไม้ไหวใส่ช้อง	ห่มตาดริ้วทองกรองหน้า
พลบคํ่ายํ่าฆ้องสนธยา	เสด็จมาเข้าที่บรรทมพลัน
มโหรีปี่พาทย์ก็ขับกล่อม	พริ้งพร้อมบรรเลงดังเพลงสวรรค์
ฝ่ายว่าพระองค์ผู้ทรงธรรม์	ใฝ่ฝันนิ่งนึกคะนึงใน
ได้ทราบข่าวกล่าวความนั้นฟุ้งเฟื่อง	ฦๅเลื่องทั้งนครขจรไหว
ถึงโฉมนางสร้อยทองต้องพระทัย	พึ่งรุ่นจำเริญวัยสิบห้าปี
เป็นบุตรีศรีเมืองเจ้าล้านช้าง	นางอื่นร้อยเอ็ดบุรีศรี
จะเปรียบถึงนางได้ก็ไม่มี	ทรงศรีเลิศลํ้าวิไลนาง
ทำไฉนจะได้สมรมิตร	มาเชยชิดแนบน้องประคองข้าง
จะมีสาราไปว่านาง	ขอพระเจ้าล้านช้างแต่โดยดี
ฤๅจะยกจัตุรงคโยธา	ไปห้อมล้อมพาราบุรีศรี
ชิงเอาองค์พระราชบุตรี	จะได้ด้วยร้ายดีประการใด
แต่ดำริตริความอยู่เรรวน	ปั่นป่วนหาเป็นบรรทมไม่
ให้แค้นขุ่นวุ่นวายในพระทัย	ตรึกไปในราษราตรี
กรก่ายพระวิลาศพาดพักตร์	ถึงเรื่องรักจักไฉนฉะนี้นี่
จะยักย้ายถ่ายเทเล่ห์ใดดี	ไม่เห็นทีที่จะได้องค์นางมา
ทรงดำริตริไปพระทัยคิด	ชอบผิดยังไม่มีที่ปรึกษา
ระงับไว้ในประถมยามมา	ล่วงเวลาจนรุ่งพระสุริยัน ฯ
๏ บ้วนพระโอษฐ์สรงพระพักตร์จำรัสแผ้ว	ครั้นแล้วทรงพระแสงฉายฉัน
เสด็จออกยังท้องพระโรงคัล	สั่งเสนาพลันในทันที
แต่บรรดาข้าเฝ้าทั้งน้อยใหญ่	เร่งให้ไปหาเข้ามานี่
ตำรวจรับสั่งพลันอัญชลี	ต่างวิ่งเป็นสิงคลีแยกย้ายไป
เจ้าคุณขาเร็วหาเข้าไปเฝ้า	ราชการหนักเบาหารู้ไม่
กริ้วอยู่ให้หาจะช้าไป	อย่านอนใจแล้วก็พากันรีบมา
ครั้นถึงลับแลแล้วเยี่ยมมอง	พระสุรเสียงตรัสก้องขนลุกฉ่า
ถวายบังคมพร้อมกันคลานเข้ามา	ภาวนาบึกบึกนึกในใจ ฯ
๏ ครั้นถึงบังคมลงพร้อมกัน	พระทรงธรรม์ปรึกษาหาช้าไม่
มานั่งพร้อมหน้าเสนาใน	ใครเห็นผิดชอบให้ว่ามา
บัดนี้ลูกสาวเจ้าล้านช้าง	ชื่อนางสร้อยทองเสนหา
ทำกะไรจึงจะได้นางมา	ฤๅจะแต่งสาราเป็นไมตรี
ไปกล่าวขอตามอย่างทางกษัตริย์	เห็นจะขัดแข็งไว้ฉันใดนี่
ฤๅจะยกจัตุรงคโยธี	ไปล้อมบุรีชิงเอามา
ใจความข้อยคิดเป็นสองอย่าง	ใครเห็นบ้างอย่างไรให้เร่งว่า
จะเห็นฉันใดให้ว่ามา	ปรึกษากันดูให้เห็นดี ฯ
๏ แสนท้าวพระยาลาวก็รับสั่ง	พร้อมพรั่งหมอบเฝ้าอยู่ในที่
ปรึกษากันพลันในทันที	ตามมีในพระราชชงคา
อุปฮาดแสนหลวงก็เห็นพร้อม	ที่ผู้น้อยพลอยดอมลงพร้อมหน้า
ลงชื่อจดหมายรายตัวมา	พร้อมหน้ากราบทูลขึ้นทันใด
ข้าพเจ้าอุปฮาดพญาแมน	กับแสนท้าวกรุงการทหารใหญ่
ทั้งเพี้ยกันจีมีฤทธิไกร	เสนาผู้ใหญ่เห็นพร้อมกัน
อันทรงพระดำริครั้งนี้	ด้วยพระราชบุตรีล้านช้างนั่น
เขาก็เป็นเชื้อกษัตริย์อยู่เหมือนกัน	ไปเว้าท่านเสียก่อนแต่โดยดี
จึงจะถูกตามทางอย่างกษัตริย์	ถ้าว่าขัดมิให้ให้รู้ที่
จึงจะค่อยยกพหลมนตรี	ล้อมบุรีแล้วชิงเอานางมา
ทุกประเทศธานีบุรีลาว	จะมิได้กล่าวคำครหา
อันโฉมยงองค์พระราชธิดา	จำจะมีสาราไปขอนาง ฯ
๏ พระองค์ทรงฟังเสนาทูล	เป็นเค้ามูลเออเอาตบเพลาผาง
จึงให้แต่งสาราเป็นท่าทาง	ตามอย่างพระราชไมตรี
กับเครื่องบรรณาการดอกไม้ทอง	สิ่งของจัดให้ไปถ้วนถี่
เดือนหนึ่งให้ถึงพระบุรี	อย่าช้าทีเร่งพากันรีบไป ฯ
๏ อุปฮาดผู้รับสั่งมาจัดแจง	ตกแต่งสาราหาช้าไม่
ลงแผ่นทองพลันทันใด	บรรณาการเร่งให้ขนเข้ามา
จึงจัดให้กรุงการทหารใหญ่	กับไพร่ห้าร้อยแสนเพชรกล้า
แล้วจัดแจงแต่งให้ทั้งอาชา	คุมเครื่องบรรณาการไป
เสร็จสรรพแล้วกลับมากราบทูล	นเรนทร์สูรเชียงอินท์ผู้เป็นใหญ่
บรรยายข้อความตามมีไป	ชอบพระทัยแล้วก็สั่งให้ไปพลัน ฯ
๏ ฝ่ายท้าวกรุงการแสนเพชรกล้า	ถวายบังคมลาขมีขมัน
ออกมาขึ้นม้าได้พร้อมกัน	กับสิ่งของทั้งนั้นก็รีบไป
ขึ้นม้าลงแซ่สะบัดย่าง	วิ่งผางหาพักอาชาไม่
ตะวันเย็นหยุดม้าหาฟืนไฟ	กินแล้วรีบไปสามยามนอน
เช้าตรู่ตีสิบเอ็ดพากันไป	น้องเพลหยุดไพร่หุงข้าวก่อน
กินแล้วขึ้นม้าพากันจร	ดึกนอนเช้าไปไม่รั้งรา
สิบวันถึงด่านเมืองล้านช้าง	เอาบอกวางชาวด่านมาพร้อมหน้า
ให้กินข้าวชาวด่านก็คุมมา	เจ็ดวันถึงพาราล้านช้างพลัน
ลงม้าพากันเข้าในเมือง	คุมเครื่องบรรณาการกับสารนั่น
อุปฮาดแสนหลวงทั้งปวงนั้น	พร้อมกันอยู่ในหน้าพระลานชัย
วางบอกตามเรื่องพระราชสาร	เพี้ยกวานพร้อมพรั่งนั่งไสว
แจ้งเรื่องบอกพลันทันใด	พากันไปที่เฝ้าเจ้าธานี ฯ
๏ จะกล่าวถึงพระเจ้าล้านช้าง	สถิตอยู่ในปรางค์ปราสาทศรี
เสวยสุขทุกข์ภัยมิได้มี	พร้อมสนมนารีประจำงาน
ล้วนเอกองค์หมื่นอนงค์นางกษัตริย์	อยู่งานพัดหมอบดาษในราชฐาน
