๏ จะกล่าวถึงพระองค์ผู้ทรงศักดิ	ปิ่นปักนัคเรศเขตขัณฑ์
สถิตเหนือแท่นแก้วแพรวพรรณ	พระกำนัลแน่นหน้าสนมใน
ขับกล่อมซ้อมเสียงประสานซอ	ล้วนลออนวลละอองผ่องใส
เบิกบานสำราญราชหฤทัย	ครั้นพระสุริใสสว่างฟ้า
สระสรงทรงเครื่องเรืองบวร	เสด็จออกพระบัญชรข้างฝ่ายหน้า
ข้าเฝ้าเจ้าพระยาแลพระยา	หมอบกลาดดาษดาอยู่พร้อมกัน ฯ
๏ ครานั้นท่านเจ้าคุณมหาดไทย	บังคมไหว้ทูลคดีขมีขมัน
ขอเดชะพระองค์ผู้ทรงธรรม์	ชีวันอยู่ใต้พระบาทา
บัดนี้มีบอกพระสุพรรณ	กรมการพร้อมกันถ้วนหน้า
ว่ายังมีโจรบกยกมา	โยธาประมาณสักพันปลาย
ตีไล่ไพร่บ้านพลเมือง	แตกวุ่นขุ่นเคืองมากหลาย
ให้ไปสืบดูรู้แยบคาย	ว่าตั้งค่ายเดิมบางอยู่กลางไพร
ผู้รั้งตั้งรับอยู่พารา	แต่หายกเข้ามาประชิดไม่
พระสุพรรณครั้นจะออกไปชิงชัย	เห็นยังไม่ได้ทราบพระบาทา
ถ้าฉวยเสียนายไพร่ในสงคราม	ก็เกรงความผิดชอบเป็นหนักหนา
ใคร่ครวญดูกระบวนที่ยกมา	จะว่าเป็นกองทัพก็ผิดไป
ด้วยยกมาแต่ตัวหัวเดียว	จะรบรับขับเคี่ยวก็มิใช่
ครั้นจะว่าเหล่าโลนพวกโจรไพร	เห็นพลไพร่มากอยู่ดูไม่ควร ฯ
๏ ครานั้นพระองค์ผู้ทรงเดช	ดำริเหตุพระองค์ทรงพระสรวล
ใบบอกอึ้งอ้ำเป็นสำนวน	เดิมบางทางก็จวนถึงสุพรรณ
ถ้าทัพศึกอื่นไกลหาไหนมา	ทำไมตั้งรั้งราอยู่ที่นั่น
ได้ทีก็จะตีเข้าติดพัน	ตั้งค่ายรายมั่นเอาพารา
นี่อ้ายพระสุพรรณไม่ออกรบ	ก็นิ่งหลบซ่อนตัวอยู่แต่ป่า
ครั้นจะว่าโจรไพรไพล่เข้ามา	กล้านักเห็นผิดจริตไป
อ้ายผู้รั้งเมืองสุพรรณมันขี้ขลาด	จึงหาอาจจะออกไปรบไม่
ทำบอกแก้ตัวด้วยกลัวภัย	กูเข้าใจอยู่สิ้นอ้ายลิ้นทอง
จึงสั่งให้อ้ายแผนออกไปดู	ครู่เดียวก็จะจับเอาคล่องคล่อง
อ้ายสุพรรณนั้นให้เป็นลูกกอง	สั่งสรรพหับห้องพระแกลชัย ฯ
๏ ท่านเจ้าคุณผู้ใหญ่ได้รับสั่ง	ออกมาจากวังหาช้าไม่
ให้แต่งตราพลันในทันใด	กระบอกหนึ่งส่งให้ไปสุพรรณ
กระบอกหนึ่งพันเภาเอ็งเอาไป	ให้พระกาญจน์บุรีขมีขมัน
พันเภารับกระบอกออกเรือพลัน	สามวันถึงเมืองกาญจน์บุรี ฯ
๏ ครานั้นขุนแผนแสนศักดา	รับรองท้องตราพระราชสีห์
กรมการพร้อมกันในทันที	เปิดคลี่แล้วอ่านซึ่งสารตรา
ทราบความตามเรื่องก็เข้าใจ	ขุนแผนยิ้มละไมอยู่ในหน้า
บอกพันเภาไปมิได้ช้า	ทำไมกับโจรป่ามาเท่านี้
จะสู้รบตบมือได้ถึงไหน	กลัวแต่เราไปจะไพล่หนี
ถ้ามันกล้ารั้งรออยู่ต่อตี	ทำไมมีเสร็จศึกนึกว่ารวย
จับเชลยมาใช้ให้หนักหนา	ทั้งช้างม้าเงินทองของมันด้วย
จะหาสาวมอญใหม่ไว้ผมมวย	ที่สวยสวยเผื่อนายให้หลายคน
ว่าพลางทางสั่งหลวงปลัด	ยกกระบัตรสัสดีนั้นเป็นต้น
ให้พร้อมกันรีบรัดจัดรี้พล	จะยกไปประจญในพรุ่งนี้ ฯ
๏ หลวงปลัดยกกระบัตรกรมการ	อลหม่านตระเตรียมกันอึงมี่
ตารางเกณฑ์กะลงส่งบาญชี	สัสดีเรียกเร่งมิได้ช้า
ที่ใครหลบเลี่ยงหลีกหนี	เฆี่ยนตีมี่ไปไม่เลือกหน้า
ให้รวบรวมวัวต่างช้างม้า	ทั้งสาตราอาวุธทุกสิ่งอัน ฯ
๏ ฝ่ายว่านางแก้วกิริยา	รู้ว่ามีศึกก็จัดสรร
เสบียงเรียงแต่งไว้ครบครัน	ขุนแผนผายผันเข้าห้องใน
เรียกแก้วกิริยากับลาวทอง	ทั้งสองเข้ามาแล้วปราศรัย
เจ้าทั้งคู่อยู่หลังอย่าตกใจ	ไปทัพครั้งนี้จะนานมา
ชุมพลลูกเราดอกเจ้าแก้ว	เจ้ารู้เรื่องอยู่แล้วเป็นนักหนา
แค้นใจจึงแกล้งให้แปลงมา	หวังจะลวงเข่นฆ่าอ้ายหมื่นไวย ฯ
๏ ครานั้นนางแก้วกิริยา	ฟังว่าหน้าเสียไม่นิ่งได้
โกรธลูกผูกเจ็บมาจองภัย	เลือดเนื้อในไส้หาไหนมา
ชั่วดีตีต่อยเอาตามผิด	ไม่คิดถึงชีวิตจะเข่นฆ่า
จงเห็นกับวันทองผ่องโสภา	วันเมื่อมรณานางฝากไว้
กำพร้าแม่ได้แต่จะพึ่งพ่อ	ยังจะต่อตามทำไปถึงไหน
บอกชุมพลให้กลับซึ่งทัพชัย	อย่าได้เคืองขุ่นให้วุ่นวาย ฯ
๏ ขุนแผนฮึดฮัดกัดฟัน	กูนี้กี่ร้อยวันมันจะหาย
ร้อนใจอะไรกับท่านยาย	ห้ามหวงลูกชายด้วยเมตตา
เห็นอ้ายแผนมันแก่แต่จะตาย	จะเอาคุณพระนายไว้ดูหน้า
