๏ ฝ่ายพระจอมจักรพงษ์ดำรงราชย์	ตรัสประภาษไปพลันด้วยหรรษา
เราขอบใจท่านสยามพราหมณ์พฤฒา	ช่วยตรึกตราสมนึกเหมือนตรึกตรอง
พระตรัสสั่งผู้ฉลาดที่อาจหาญ	ให้นำสารไปประมูลทูลฉลอง
ในเบื้องบาทพระเจ้าอาฝ่าละออง	กับทั้งสองเชษฐาได้ปรานี
เอาม้าเร็วว่องไวรีบไปบก	ตามวิตกหมายมุ่งไปกรุงศรี
รมจักรนคราถึงธานี	ทูลคดีขอเรือใบไปลังกา
แล้วรีบไปถวายสารกรุงผลึก	ว่าเกิดศึกเข้มแข็งแรงนักหนา
พวกม้าใช้พร้อมมูลแล้วทูลลา	ตัดออกมานอกทุ่งพอรุ่งราง
สิบห้าวันบรรลุถึงรมจักร	เข้าหยุดพักอยู่ที่หน้าศาลาขวาง
พวกรักษาขอบเขตประเทศทาง	นั่งอยู่กลางศาลาแล้วว่าไป
เราขอถามพวกบุรุษที่หยุดม้า	ท่านจะมาที่นี่หรือที่ไหน
พวกกำพลเปรมปรีดิ์ด้วยดีใจ	ตรงเข้าไปเล่าแถลงแจ้งคดี
ข้าพเจ้าอยู่ตำบลกำพลเพชร	มาพร้อมเสร็จโดยบุราณถือสารศรี
ขององค์พระมังคลาเจ้าธานี	เฝ้าที่นี่แล้วจะไปในลังกา
ขุนด่านฟังสั่งเสมียนให้เขียนบอก	ผูกม้าหมอกรีบไปไวไวหวา
นำเอาท่านราชทูตไปพูดจา	แก่เสนาผู้กำกับได้กราบทูล
แล้วพาทูตเข้าไปในนิเวศน์	พอทรงเดชธิบดินทร์ปิ่นไอศูรย์
เสด็จออกแท่นสุวรรณอันจำรูญ	เสนาทูลบอกเรื่องเมืองกำพล
ฝ่ายพระองค์ผู้ดำรงรมจักร	สงสัยนักทรงแคลงแห่งนุสนธิ์
หรือจะมาท่าไรเป็นไกกล	ฟังยุบลให้กระจ่างทางบุราณ
ไปรับมาในวังฟังมันพูด	ใครเป็นทูตจำถือหนังสือสาร
แต่มันแตกจากลังกาไปช้านาน	อยู่ถิ่นฐานเมืองใดพึ่งได้ยิน
พระสงสัยใคร่แจ้งแห่งระหัส	โองการตรัสโดยในพระทัยถวิล
ไปรับทูตเข้ามาในธานินทร์	พร้อมกันสิ้นแล้วให้อ่านสารสารา ฯ
๏ เจริญลักษณ์อักษรสุนทรสาร	เขียนใส่ลานทองประจำคำเลขา
ขอบังคมสมเด็จพระเจ้าอา	ให้ทราบฝ่าบาทมูลทูลละออง
เพราะคบคนเป็นพาลสันดานชั่ว	จึ่งพาตัวปี้ป่นต้องหม่นหมอง
ขอประทานโทษาฝ่าละออง	ที่ขุ่นข้องมาแต่หลังตั้งแต่เดิม
ได้รบพุ่งมุ่งหมายมาหลายครั้ง	มิได้ยั้งตรองตรึกจึ่งฮึกเหิม
ทำเคืองขัดพระอัชฌามาแต่เดิม	ตั้งแต่เริ่มแรกบำรุงกรุงลังกา
จงงดโทษโปรดปรานประทานเกล้า	จะมาเฝ้าศึกประชิดติดหนักหนา
ขอบารมีทูลกระหม่อมจอมประชา	เสด็จมาช่วยกำราบปราบอรินทร์ ฯ
๏ พอจบสารพระผู้ผ่านรมจักร	เสียดายศักดิ์นึกในพระทัยถวิล
ม้นก็หลานในไส้ใช่ไพริน	ครั้นจะผินหลังให้ก็ไม่ดี
เขาก็ยอมงอนง้อมาขอโทษ	จะถือโกรธพูดไปเหมือนใส่สี
เป็นผู้ใหญ่ใครเขารู้ดูไม่ดี	ก็ควรที่จะบำรุงกรุงกำพล
ให้สืบสุริย์วงศ์พระทรงภพ	ขจรจบลือแจ้งทุกแห่งหน
พระตรัสสั่งเสนีเตรียมรี้พล	ที่นั่งต้นกำปั่นหงส์อลงกรณ์
ทั้งเรือรบเรือไล่ให้หลายร้อย	เรือใช้สอยกับทหารชาญสมร
เครื่องอาวุธยุทธนาพลากร	เป็นการร้อนเร่งรัดไปจัดเรือ
แล้วสั่งให้เลี้ยงคนกำพลเพชร	ทั้งบำเหน็จให้ทุกคนจนล้นเหลือ
อีกเงินทองของประทานให้จานเจือ	ทั้งหมวกเสื้อหลายอย่างเป็นรางวัล
ประทานเสร็จพระเสด็จยุรยาตร	ขึ้นจากอาสน์พรรณรายแล้วผายผัน
เข้าข้างในปรางค์ทองห้องสุวรรณ	พร้อมกำนัลมเหสีชลีกร
พระตรัสเล่าสององค์อนงค์นาฏ	ตามเรื่องราชสารไปให้สมร
ฟังถ้อยคำมังคลามาว่าวอน	ให้เราจรไปช่วยรับทัพทมิฬ
บาทหลวงเฒ่าเจ้าเล่ห์เป็นขบถ	มันคิดคดทำศึกนึกถวิล
กลับไปเป็นศัตรูตีบูรินทร์	จะชิงถิ่นฐานที่บุรีเดิม
มางอนง้อขอให้ยกไปช่วย	เหมือนคนป่วยข้าศึกมันฮึกเหิม
จำจะต้องไปช่วยตีบุรีเดิม	ช่วยเพิ่มเติมโยธาพลาพล ฯ
๏ ฝ่ายองค์พระมเหสีชุลีหัตถ์	แล้วทูลทัดเรื่องความตามนุสนธิ์
กลัวแต่เห็นยังจะเป็นในไกกล	บาทหลวงคนนี้อุบายหลายประการ
พระทรงฟังจึงว่าสังฆราชแตก	ไปคบแขกมาทำร้ายหลายสถาน
ในหนังสือก็ให้สัตย์ปฏิญาณ	ที่จะมารยาไปเห็นไม่มี
พระตรัสพลางทางลุกขึ้นจากอาสน์	ไปเฝ้าบาทบงกชบทศรี
ทูลแถลงแจ้งความตามคดี	ในสารศรีของฝรั่งมังคลา ฯ
