๏ ฝ่ายฝรั่งลังกาพวกข้าศึก	ล้วนเหิมฮึกห้าวหาญชาญสนาม
กำเริบรักจักชิงผู้หญิงงาม	ต่างรีบข้ามเร็วมาไม่ราใบ
ถึงเขตคุ้งกรุงผลึกเสียงครึกครื้น	ดูดังคลื่นข้ามมหาชลาไหล
ด้วยหลายเมืองเนืองแน่นแล่นไรไร	พลไพร่โห่ลั่นสนั่นดัง ฯ
๏ กองตระเวนเจนนาวาทั้งห้าร้อย	เที่ยวแล่นลอยแลเห็นทัพมาคับคั่ง
เป็นหมื่นแสนแน่นหนาดาประดัง	ยังข้างหลังแล่นตามมาหลามทาง
จึงปรึกษาว่าศึกเห็นฮึกหาญ	จะต่อต้านตีตัดก็ขัดขวาง
แต่ลองสู้ดูหน่อยแล้วถอยพลาง	ไปปิดทางปากน้ำที่สำคัญ
แล้วขานโห่โยธาสัญญารบ	แล่นตลบเลี้ยวลัดสกัดกั้น
ต่างปล่อยปืนครื้นคลุ้มชอุ่มควัน	ถูกกำปั่นตูมตึงปึงปังปัง
มันตอกปืนครื้นครึกเสียงกึกก้อง	ตระเวนล่องหลีกคล้อยปล่อยปืนหลัง
ถูกสำเภาเสากระโดงผึงโผงพัง	พลฝรั่งล้มตายลงหลายพัน
พวกกองหนุนขุนพลเมืองวิลาส	เข้ากลุ้มกลาดยิงแย้งล้วนแข็งขัน
ตระเวนน้อยคอยรบบรรจบกัน	เสียงครื้นครั่นครึ้มฟ้าสุธาธาร ฯ
๏ ฝ่ายพระหน่อบพิตรอดิศร	สุดสาครเข้มแข็งกำแหงหาญ
กับองค์พระกนิษฐานุชาชาญ	ตั้งอยู่ด่านปากน้ำแต่ค่ำพลบ
พอเช้าตรู่ดูเรือเห็นเหลือหลาม	ไล่ติดตามชาวบุรีตีตลบ
ตระเวนด่านพานจะน้อยก็ถอยทบ	ไพรีรบรุมกันกระชั้นมา
พระตกใจให้อำมาตย์ประกาศสั่ง	กำปั่นทั้งร้อยรายอยู่ซ้ายขวา
ออกรบรับทัพฝรั่งเมืองลังกา	พวกโยธาหมดทั่วไม่กลัวเกรง
ต่างจัดแจงแต่งกายทั้งนายไพร่	แต่ล้วนใส่เสื้อเกราะดูเหมาะเหมง
ออกกำปั่นลั่นปืนเสียงครื้นเครง	บ้างรำเพลงแหลนหลาวโห่ฉาวมา
มหาดเล็กเด็กนั้นพันห้าร้อย	ล้วนใส่สร้อยสังวาลหาญอาสา
ถือธนูคู่องค์พงศ์นรา	องค์ละห้าร้อยถ้วนล้วนเล็กเล็ก
เคยเรียนรู้สู้รบถึงหลบฝน	ต่างราญรณเริงร่าประสาเด็ก
บ้างม้วนจุกผูกกระสันพันหางเจ๊ก	ดาบเล็กเล็กเหน็บแนบเป็นแยบคาย
สุดสาครสอนสองพระน้องน้อย	ให้สวมสร้อยสังวาลประสานสาย
กุมารีพี่แต่งแปลงเป็นชาย	สอดสะพายลูกแล่งพระแสงทรง
สุดสาครกรกุมไม้เท้าแก้ว	สำเร็จแล้วลีลาศดังราชหงส์
ขึ้นบนหลังถังน้ำทั้งสามองค์	ให้โบกธงตีฆ้องเร่งกลองรบ ฯ
๏ ฝ่ายเสนาการะเวกเอกอำมาตย์	เห็นเรือลาดตระเวนแยกแตกตลบ
ไม่หลีกเลี่ยงเรียงระดมเข้าสมทบ	ยิงปืนรบรับฝรั่งเสียงปังปึง
พอลมหวนป่วนปะปะทะทัพ	เอาขอสับสายโซ่พอโล้ถึง
กำปั่นปัดฟัดดังเสียงปังปึง	พลทะลึ่งโลดโผนโจนลงเรือ
พวกฝรั่งอังกฤษโลหิตสาด	ใครไม่อาจต่อต้านทหารเสือ
ขึ้นลำไหนไพร่นายตายเป็นเบือ	ที่หลอเหลือลงน้ำว่ายคล่ำไป
พอทัพท้าวเจ้าวิลาสมากลาดกลุ้ม	เข้าห้อมหุ้มโห่ลั่นเสียงหวั่นไหว
พลกุมารราญเริงเชิงชิงชัย	โดดขึ้นได้บนกำปั่นไล่ฟันแทง
ล้วนเร็วรวดหวดฟาดเสียงฉาดฉับ	จะรบรับก็ไม่ทันล้วนขันแข็ง
