๏ ฝ่ายสุวรรณมาลีศรีสุวรรณ	อยู่พร้อมกันที่ลำกำปั่นใหญ่
ฟังสำเนียงเสียงปี่พระอภัย	ก็จำได้ด้วยเคยฟังแต่หลังมา
ทั้งถ้อยคำร่ำเรียกสำเหนียกแน่	เห็นเที่ยงแท้ภูวไนยให้ไปหา
สินสมุทรสุดคิดถึงบิดา	จึงทูลว่าปี่นี้ไม่มีใคร
คือทรงฤทธิ์บิตุรงค์ของลูกรัก	เห็นแน่นักพระองค์อย่าสงสัย
ข้าจะขอทูลลาอาสาไป	แล้วจะได้รับมาเภตราเรา ฯ
๏ สองกษัตริย์ตรัสว่าอย่าว้าวุ่น	เขามีคุณพระบิดามากับเขา
ควรจะไปไต่ถามตามสำเนา	จะด้นเดาดื้อไปนั้นไม่ดี
พวกฝรั่งลังกาจะว่าได้	ต้องขัดข้องหมองใจไม่พอที่
ฉวยขุกเข็ญเป็นศึกจะเสียที	ด้วยพระพี่มิได้รู้อยู่ด้วยมัน
อาจะไปให้พบภูวเรศ	ถ้าแจ้งเหตุทุกข์ร้อนจะผ่อนผัน
พ่ออย่าไปใจเด็กยังดุดัน	อยู่กับน้องป้องกันพระชนนี
สินสมุทรห้ามว่าอย่าเสด็จ	เหมือนขามเข็ดของ้อไม่พอที่
หลานจะไปไต่ถามแต่โดยดี	ถ้าย้ำยีจึงจักสู้ดูฝีมือ
พระไปเรือเมื่อไรจะไปถึง	จะเหมือนหนึ่งฉันลงน้ำดำไปหรือ
แม้นพบปะพระบิดาจะหารือ	ไม่ดึงดื้อดอกพระองค์อย่าสงกา
แล้วจัดแจงแต่งเครื่องสำหรับยุทธ์	เหน็บอาวุธคู่กายทั้งซ้ายขวา
กระโดดโผนโจนลงในคงคา	แผลงศักดาดำดึ่งตะบึงไป ฯ
๏ ฝ่ายโฉมยงองค์อรุณรัศมี	คิดว่าพี่ตกน้ำร่ำร้องไห้
พระเจ้าป้ามาช่วยด้วยไวไว	พระพี่ไม่ผุดรอดจะวอดวาย
ทั้งสององค์ทรงพระสรวลทั้งโศกเศร้า	นางเคียงเข้าเล้าโลมนางโฉมฉาย
พระพี่ดำน้ำไปดอกไม่ตาย	อย่าวุ่นวายเลยมานั่งคอยฟังความ
ศรีสุวรรณนั้นไม่ไว้ใจฝรั่ง	จึงตรัสสั่งนายทหารชาญสนาม
เร่งเตรียมเรือเพื่อสำหรับรับสงคราม	ไว้สักสามสิบลำประจำการ
ออกแล่นลอยคอยดูอยู่ห่างห่าง	ถ้าขัดขวางก็จะได้แก้ไขหลาน
อังกุหร่าบังคมค่อยก้มคลาน	มาเตรียมการพร้อมพรั่งระวังภัย ฯ
๏ ฝ่ายพระหน่อบดินทร์สินสมุทร	ดำมาผุดกลางมหาชลาไหล
แลเห็นลำกำปั่นเป็นหลั่นไป	ไม่มีใครดูแลแต่สักคน
แต่เสียงปี่ที่เป่ายังไม่หยุด	สินสมุทรเพ่งพิศคิดฉงน
ค่อยแฝงกายว่ายมาในสาชล	ปีนขึ้นบนกำปั่นไม่ครั่นคร้าม
เห็นพวกพลกรนหลับระดับดาด	ดูเกลื่อนกลาดกลางเรืออยู่เหลือหลาม
ที่ตื่นอยู่รู้จักล้วนจีนจาม	จึงโดดข้ามคนเหล่านั้นมาทันที
เห็นบิตุรงค์ทรงนั่งบัลลังก์อาสน์	เข้ากอดบาทบงกชบทศรี
ไม่ทันถามความโศกแสนทวี	ทรงโศกีกลิ้งเกลือกลงเสือกกาย ฯ
๏ จอมกษัตริย์ทัศนาเห็นลูกแก้ว	เหมือนตายแล้วเกิดใหม่ให้ใจหาย
พระชลนัยน์ไหลหลั่งลงพรั่งพราย	ประคองกายกอดแอบไว้แนบองค์
สงสารบุตรสุดจะขืนสะอื้นอั้น	ยังมิทันไต่ถามตามประสงค์
สุดกำลังจะประทังดำรงองค์	กันแสงทรงโศกซบสลบไป ฯ
๏ แขกฝรั่งทั้งนั้นก็ขวัญหาย	เห็นเจ้านายนิ่งแน่เข้าแก้ไข
ไม่ฟื้นองค์สงสารแสนอาลัย	ต่างร้องไห้วุ่นวายฟายน้ำตา ฯ
