๏ ฝ่ายกษัตริย์รายาชวาฉวี	ครั้นฤกษ์ดีเสด็จท่าชลาสินธุ์
สามกษัตริย์เสด็จออกนอกบุรินทร์	พระเทวสินธุ์ตามตรงมาลงเรือ
พวกพหลพลชวาบรรดาแขก	บ้างขนแบกของตามกันหลามเหลือ
ทั้งไก่แพะเอาไปที่ในเรือ	ทั้งข้าวเกลือของเสวยทั้งเนยนม
บรรทุกใส่ในกำปั่นทุกชั้นช่อง	ที่ในห้องคนประจำทำขนม
บ้างต้มแกงแต่งตบครบอุดม	พวกสนมน้อยน้อยคอยอยู่งาน
ครั้นได้ฤกษ์เลิกโห่ขึ้นสามครั้ง	ปืนประดังยิงเรียงเสียงประสาน
ท้าวเสด็จลงกำปั่นมิทันนาน	พวกคนงานถอนสมอขันช่อใบ
ออกกำปั่นครั่นครื้นสักหมื่นเศษ	แล่นสังเกตแถวถิ่นกระสินธุ์ใส
ออกน้ำเขียวทางทะเลว้าเหว่ใจ	แล่นไปในสาคโรชโลธร
ชมมัจฉาปลาใหญ่ขึ้นว่ายคล่ำ	บ้างผุดดำโตยิ่งกว่าสิงขร
นางสาวสาวชาววังบ้างนั่งนอน	ชมสิงขรเกาะแก่งทุกแห่งไป
แล้วพูดจาว่ากันภาษาแขก	ถ้าเรือแตกเราจะด้นไปหนไหน
ลางคนว่าน่าเบื่อเหลืออาลัย	บ้างบ่นไปเพราะว่ากลัวจนตัวงอ
ที่วิงเวียนเหียนรากอยากแต่น้ำ	ร้องว่ากรรมเอ๋ยจะไปข้างไหนหนอ
รู้อย่างนี้มิมาน้ำตาคลอ	บ่นถึงพ่อถึงแม่ออกแซ่ไป
คิดว่าจะมาเป็นสุขสนุกสนาน	ให้รำคาญในอุราน้ำตาไหล
ไม่รู้เลยว่าลำบากยากหัวใจ	มิหาไม่จะสู้จ้างเขาต่างตัว
วิสัยหญิงใจอ่อนนอนไม่หลับ	ถึงจนทรัพย์เต็มประดาคิดหาผัว
ได้หูหนวกตาบอดคงรอดตัว	ไม่ยักกลัวมีท้องจะดองยา
กินให้หายบาดแผลพอแก้ทุกข์	ค่อยเป็นสุขจริงแท้หนอแม่ขา
ดีกว่าต้องมาเรือเหลือระอา	สู้ก้มหน้ากัดฟันจนบรรลัย
พวกสาวสาวชาววังนั่งกำสรด	ทรวงระทดแทบจะพาเลือดตาไหล
จนพลบค่ำย่ำสุริโยทัย	ให้หวั่นไหวทรวงโศกวิโยคครวญ ฯ
๏ ฝ่ายองค์ท้าวเจ้าชวาอาณาเขต	ทอดพระเนตรเหล่าอนงค์ทรงพระสรวล
บ้างโงกเหงาเมาคลื่นยืนเซซวน	ทั้งปั่นป่วนซบเซาบ้างหาวนอน
พอคลื่นเงียบเรียบร้อยค่อยเป็นสุข	บรรเทาทุกข์ที่ในทรวงดวงสมร
เรือก็แล่นเลยมาในสาคร	พระจันทรแจ่มฟ้านภาลัย
ท้าวรายาเสด็จออกนอกบาหลี	นั่งเก้าอี้พร้อมพหลพลไสว
ท้าวดำรัสตรัสสั่งเสนาใน	ให้แล่นไปตามกันดั่งสัญญา ฯ
๏ ฝ่ายพระหน่อเทวสินธุ์นรินทร์ราช	ล่วงลีลาศไปพลันด้วยหรรษา
นำกำปั่นไทท้าวเจ้าชวา	เป็นทัพหน้าตรวจพหลพลนิกร
ทั้งเช้าค่ำร่ำไปมิให้หยุด	ก็รีบรุดข้ามละเมาะเกาะสิงขร
ไปเดือนครึ่งเกือบจะถึงเขตนคร	เป็นการร้อนรีบไปใกล้พารา
กำพลเพชรนครังครั้งยายเฒ่า	ไม่มีเจ้าเป็นแต่ผู้อยู่รักษา
คอยโฉมยงองค์กษัตริย์ขัตติยา	จะกลับมาครองประเทศเขตกำพล
ก็หายไปหลายปีไม่มีสุข	ไปรบรุกแว่นแคว้นแดนสิงหล
อยู่แต่พวกเสนาประชาชน	เพชรกำพลร้างกษัตริย์ขัตติยา
พอเรือพระเทวสินธุ์สามกษัตริย์	มาแออัดจอดรายหลายภาษา
พวกชาวด่านชาญสมุทรสุดปัญญา	ไม่รู้ว่าวงศ์ท้าวเจ้านคร
คิดว่าเป็นข้าศึกมาฮึกฮัก	ไม่ประจักษ์ใช้เสมียนเขียนอักษร
ให้ม้าเร็วรีบไปในนคร	เป็นการร้อนศึกมาติดธานี
แต่กำปั่นคั่งคับมานับร้อย	คนใช้สอยบรรดากะลาสี
ก็นับหมื่นปืนฝรั่งแต่อย่างดี	มาทอดที่ปากน้ำเหลือกำลัง ฯ
๏ ขุนนางใหญ่ได้แจ้งแห่งหนังสือ	ที่คนถือส่งให้ดังใจหวัง
สั่งให้เกณฑ์ชาวป้อมพวกล้อมวัง	รีบไปยังเมืองด่านชานชลา
ทั้งปืนหลักลากไปใส่บนป้อม	ทหารพร้อมเร่งร้นพลอาสา
ให้ยกหนุนเนื่องออกนอกพารา	ไปรับข้าศึกไว้ดังใจปอง
แล้วแบ่งพลคนละหมื่นถือปืนผา	เครื่องสาตราทวนง้าวเรียกเจ้าของ
กรมของใครให้ตรวจตามหมวดกอง	ให้ได้สองหมื่นทั่วทุกตัวนาย ฯ
๏ ฝ่ายโฉมยงองค์พระจอมเทวสินธุ์	หน่อนรินทร์ตรัสสั่งคนทั้งหลาย
ให้ไปบอกเสนาบรรดานาย	อย่าวุ่นวายไปมิใช่พวกไพรี
เราก็เป็นหน่อเนื้อเชื้อกษัตริย์	ในจังหวัดนคเรศบุรีศรี
เป็นโอรสทศมิตรคิดภักดี	พระเทวีกฤษณานิคาลัย
เองไปแจ้งแห่งขุนนางในเมืองด่าน	แต่โดยการจริงแจ้งแถลงไข
ให้รีบลงมารับกูฉับไว	จะขึ้นไปถิ่นฐานชมบ้านเมือง
พวกคนใช้รีบไปลงเรือช่วง	ครรไลล่วงถึงท่าพอฟ้าเหลือง
ครั้นเช้าตรู่สุริยาถึงหน้าเมือง	ขึ้นแจ้งเรื่องกับขุนด่านชานชลา
ว่าพระหน่อวรนาถราชบุตร	ประเสริฐสุดที่ในวงศ์เผ่าพงศา
มิใช่เรืออื่นไกลหาไหนมา	เป็นบุตรานางเฒ่าเจ้าแผ่นดิน ฯ
๏ ขุนนางได้แจ้งเรื่องแต่เบื้องหลัง	ข้อรับสั่งชื่นชมสมถวิล
ว่าหน่อเนื้อเชื้อเหล่าเจ้าแผ่นดิน	พากันยินดีกลับกองทัพชัย
แล้วจัดแจงแต่งเรือลงไปรับ	น้อมคำนับบอกกันเสียงหวั่นไหว
ลำที่นั่งดั้งกันเป็นหลั่นไป	เชิญท้าวไทรายาเข้ามาวัง
กษัตริย์สามตามเข้าไปในนิเวศน์	ถิ่นประเทศเสร็จสมอารมณ์หวัง
พวกเสนาข้าไทที่ในวัง	มาพร้อมพรั่งดีใจใครจะปาน
ทั้งพระวงศ์พงศาคณาญาติ	มาปราสาทรจนามุกดาหาร
ทูลแถลงแจ้งคำที่รำคาญ	ว่าพระผ่านนคราบิดาเธอ
ยกพหลพลไกรไปกำปั่น	กับด้วยท่านฝรั่งครูผู้เสนอ
ว่าจะไปลังกาพาราเธอ	บาทหลวงเออรับพากันคลาไคล
ถ้วนกำหนดสามปีมิได้ข่าว	ที่เรื่องราวร้อนเย็นเป็นไฉน
จัดกำปั่นแต่บรรดาเสนาใน	ใช้ให้ไปเล่าก็หายไม่ได้ความ ฯ
๏ ฝ่ายพระจอมเทวสินธุ์นรินทร์รัช	โองการตรัสปราศรัยแล้วไต่ถาม
ว่าตัวเราก็จะคิดไปติดตาม	ท่านแจ้งความอยู่หรือไรในลังกา
ว่าผู้ใดใครครองอาณาเขต	ท่านรู้เหตอยู่หรือไม่อย่างไรหนา
จงเล่าไปให้ประจักษ์ช่วยชักพา	ไปลังกาตามองค์พระทรงธรรม์
เสวกาว่าทูลละอองบาท	โอรสราชพระอภัยครองไอศวรรย์
สุดสาครสุริย์วงศ์พระทรงธรรม์	เธอครองขัณฑเสมาในธานี
พระทรงทราบเรื่องต้นแต่หนหลัง	จึงตรัสสั่งเสนาบดีศรี
ให้เร่งเตรียมพวกพหลแลมนตรี	วันพรุ่งนี้เราจะไปดั่งใจจง
แล้วเชิญท้าวรายาเจ้าตาเลี้ยง	มานั่งเคียงชื่นชมสมประสงค์
แล้วปรึกษาพาทีกันสี่องค์	ตามประสงค์ที่จะไปในลังกา ฯ
๏ ฝ่ายท่านท้าวเจ้าชวาอาณาจักร	ว่าหลานรักร่วมชีวังอย่ากังขา
พ่อไปไหนไปด้วยกันไม่ฉันทา	อย่าได้ปรารมภ์ไปใจพะวง
อันตัวตาเป็นผู้ใหญ่คงไปด้วย	เป็นเพื่อนม้วยเหมือนดังจิตคิดประสงค์
ถึงยากเย็นเป็นตายวายชีวง	ตาก็คงช่วยกันเหมือนสัญญา
จะรบรับขับขันประจัญสู้	ตาก็รู้กลศึกได้ปรึกษา
ทั้งสามองค์พงศ์กษัตริย์ขัตติยา	จึ่งวันทาทูลแถลงแจ้งคดี
ซึ่งพระองค์ทรงฤทธิ์คิดพันผูก	เหมือนหลานลูกของพระคุณอุ่นเกศี
หลานจะขอพึ่งพาฝ่าธุลี	ไว้เป็นที่อัยกาเหมือนวาจัง
ข้าทั้งสามกำพร้าอนาโถ	ท้าวเหมือนโพใบคลุมพอคุ้มขัง
ขอพึ่งบุญกรุณาเหมือนวาจัง	เป็นที่หวังสืบวงศ์พงศ์ประยูร
ท้าวรายาชื่นชมโสมนัส	พ่อซื่อสัตย์รักใคร่มิได้สูญ
ทั้งสมนามสมเนื้อเชื้อตระกูล	เธอเพิ่มพูนประดิพัทธ์สวัสดี
สามกษัตริย์เข้าในที่ไสยาสน์	บนปรางค์มาศแท่นจำรัสรัศมี
กับไทท้าวเจ้าชวาในธานี	ต่างเปรมปรีดิ์รักกันไม่ฉันทา ฯ
๏ ครั้นรุ่งแจ้งแสงทองส่องอากาศ	พวกอำมาตย์พร้อมพหลพลอาสา
มาเตรียมคอยหน่อกษัตริย์ขัตติยา	แต่บรรดาเสนีที่จะไป ฯ
๏ ป่างพระจอมเทวสินธุ์นรินทร์ราช	ตื่นไสยาสน์กับสองสนองไข
จึ่งเชิญองค์ท้าวชวาให้คลาไคล	เสด็จไปพระที่นั่งบัลลังก์ทอง
พร้อมทหารขานโห่จะเอาฤกษ์	เสียงเอิกเกริกคั่งคับทัพทั้งสอง
ยิงปืนใหญ่เตรียมตรวจทุกหมวดกอง	แล้วลั่นฆ้องชักใบขึ้นใส่เรียว
พร้อมกำปั่นพันร้อยออกลอยแล่น	ไปตามแผนที่ประจำออกน้ำเขียว
ทั้งเรือรบเรือแห่แลเป็นเกลียว	คงคาเชี่ยวลมเฉื่อยเรื่อยสบาย
ตามละเมาะเกาะแก่งทุกแห่งหน	ไปตามวนวารินกระสินธุ์สาย
ทั้งเต่าหอยลอยกลาดริมหาดทราย	ที่ตัวลายพรอยพร้อยลอยเป็นแพ
หอยอีรมนมนางสล้างสลอน	เกิดกับก้อนหินรายชายกระแส
บ้างเป็นสีต่างต่างเหมือนอย่างแล	จะนับแต่ฝูงหอยกว่าร้อยพัน
ทั้งปูเปี้ยวเขียวขาววิ่งกราวหาด	ดูประหลาดไม่มีหัวตัวมันขัน
มีตาติดกับกระดองอยู่สองอัน	สืบพันธุ์ตั้งร้อยไม่น้อยเลย
พอมีไข่กินผัวของตัวหมด	ทรยศสิ้นประตูเจียวปูเอ๋ย
สัตว์จัญไรแพศยาไม่น่าเชย	แล้วก็เลยลอยแพไปแต่ตัว
เปรียบเหมือนหญิงทรลักษณ์อกุศล	ทำเล่ห์กลมารยาคิดฆ่าผัว
อันบาปกรรมเป็นอย่างไรมันไม่กลัว	ไว้ความชั่วน่าชังเหมือนอย่างปู
ฝูงแมงดาน่าดูตัวผู้เกาะ	เที่ยวว่ายเสาะพาจรจนอ่อนหู
ไปหาเหยื่อเผื่อกันกตัญญู	พิเคราะห์ดูเหมือนคนจนปัญญา
ทั้งเกียจคร้านมึนตึงพึ่งผู้หญิง	ได้แอบอิงพิงปากยากหนักหนา
พวกมนุษย์เมียแช่งเหมือนแมงดา	ทำแต่ตาปรอยปรอยคอยจะกิน
อันฝูงสัตว์ปฏิสนธ์ที่บนหาด	ดูประหลาดมากมายชายกระสินธุ์
เอากำเนิดเกิดที่หาดดูดาษดิน	ไม่รู้สิ้นหลายอย่างต่างต่างกัน ฯ
๏ สามพระหน่อนฤเบศเกศกษัตริย์	ให้แล่นลัดสิงขรค่อยผ่อนผัน
สั่งล้าต้าต้นหนคนสำคัญ	ให้พวกกันคอยประจำหยั่งน้ำดู
เอาแผนที่คลี่ดูให้รู้ทิศ	อย่าให้ผิดทางจรจะอ่อนหู
ด้วยไม่เคยถิ่นประเทศสังเกตดู	เป็นแต่รู้ยังไม่ได้เคยไปมา
พระสุริยาลงลับพยับฝน	ก็มัวมนมืดมิดทุกทิศา
จวนจะค่ำย่ำแสงพระสุริยา	ลมสลาตันตั้งฝั่งทะเล
เป็นคลื่นใหญในกระสินธุ์ทุกถิ่นที่	ลมก็ตีท้ายกำปั่นป่วนหันเห
พวกต้นหนคนชำนาญการทะเล	คิดถ่ายเทเรือหมดให้ลดใบ
ตั้งบวงสรวงเทพไทในสมุทร	ฤทธิรุทรเขาเขินเนินไศล
ขอเชิญช่วยคุ้มอุบัทว์กำจัดภัย	ทางจะไปลังกาให้ถาวร
พอขาดคำคลื่นลมระดมหาย	คนทั้งหลายเหล่าทหารชาญสมร
ด้วยได้ความสุขาในสาคร	ศศิธรแจ่มกระจ่างดั่งกลางวัน
เมฆพยับอับฟ้าในอากาศ	ก็เกลื่อนกลาดแจ่มสว่างทางสวรรค์
นภากาศแจ่มแจ้งด้วยแสงจันทร์	เรือกำปั่นแล่นไปในคงคา
สามกษัตริย์ทัศนาเวหาหาว	แสงเดือนดาวส่องสว่างกลางเวหา
พระจึ่งเชิญท่านท้าวเจ้าชวา	เสด็จมาในที่นั่งบัลลังก์ทอง
แล้วปรึกษาว่าองค์พระทรงฤทธิ์	เห็นชอบผิดโปรดบ้างที่หมางหมอง
จะไปยังลังกาตรึกตราตรอง	โดยทำนองพระจะเห็นเป็นอย่างไร
ถ้าแม้นว่ารบพุ่งกันยุ่งยิ่ง	เราจะนิ่งดูแลคิดแก้ไข
หรือจะเข้าโรมรันประการใด	ขอพระอัยกาตรองให้ต้องตาม
ประเพณีที่ในเนื้อเชื้อกษัตริย์	ไม่แจ้งอรรถข้อไรได้ไต่ถาม
อย่าให้เสียเกียรติยศพองดงาม	ให้ต้องตามเรื่องในอัยการ ฯ
๏ ท้าวรายาว่าพ่อหน่อกษัตริย์	ตาจะจัดแจงให้หลายสถาน
อย่าเป็นทุกข์ร้อนไปให้รำคาญ	จากสถานกำพลเพชรได้เจ็ดวัน
พอเช้าตรู่สุริยงเธอส่งแสง	กระจ่างแจ้งพื้นนภางค์ทางสวรรค์
พวกพหลพลทหารชำนาญครัน	จัดเลี้ยงกันเสพอาหารทั้งหวานคาว
เกือบจะใกล้เกาะมหากาลวาต	ผิดประหลาดหลากใจให้แต่หนาว
ใช่ฤดูน้ำค้างตกพร่างพราว	เป็นลมว่าวพัดกล้าต้องซาใบ
พวกต้นหนคนการสะท้านทั่ว	เป็นหมอกมัวในมหาชลาไหล
เรือที่แล่นตามกันเป็นหลั่นไป	เห็นไรไรเกาะขวางกลางชลา
อันเกาะนี้โตใหญ่มิใช่น้อย	ที่เขาปล่อยท้าวละมานนานนักหนา
หมดทั้งพวกพร้อมกันแต่บรรดา	มรณาด้วยกันหมดเพราะอดตาย
เป็นผีดิบเกลื่อนกล่นอยู่บนเกาะ	เที่ยวละเมาะตามแผ่นดินกระสินธุ์สาย
แม้นกำปั่นใครซัดแลพลัดพราย	มาถึงชายเกาะนี้มันดีใจ
ตะโกนก้องร้องเรียกกันมาพร้อม	เข้าห้อมล้อมเรือแน่นแล่นไม่ไหว
มันฉุดคร่าเชือกเสายุดเพลาใบ	ไปไม่ได้ติดตายเสียหลายลำ
มันสูบเลือดกินเล่นเป็นอาหาร	ท้าวละมานพวกผีถลีถลำ
แต่กลางวันมันขยาดไม่อาจทำ	แม้นพลบค่ำยืนเด่นให้เห็นตัว
แต่กินคนมานานประมาณแสน	ทุกด้าวแดนเข็ดขยั้นออกสั่นหัว
แม้นเรือซัดพลัดเข้าจอดไม่รอดตัว	ลูกค้ากลัวความขยาดไม่อาจเดิน ฯ
