w1,w2,w3,w4
ยังมีบุตรสาลิกาปักษาสัตว์,ขนระบัดพึ่งขึ้นพอบินได้,จิตคะนองลองปีกจะบินไป,เหยี่ยวตะไกรโฉบฉาบจะคาบกิน
สาลิกาก็ถลาแถลบหลบ,เหยี่ยวประจบจับพลัดสะบัดดิ้น,พอถึงองค์ทรงฤทธิ์บนคิรินทร์,นกน้อยดิ้นสิ้นกำลังถลามา
สองปีกป้องร้องจ้อคุณพ่อช่วย,เหยี่ยวจะฉวยลูกรักเป็นภักษา,ก็โผนลงตรงพักตร์พระราชา,เหยี่ยวถลากลับหันไปทันใด
ทั้งพี่น้องเข้าประคองเอานกน้อย,เห็นริ้วรอยเล็บเหยี่ยวเฉี่ยวเลือดไหล,พระหัตถ์ลูบลูกนกอย่าตกใจ,เหยี่ยวมันไปลับแล้วนะแก้วตา
นี่ร้อยชั่งรวงรังเจ้าอยู่ไหน,เหยี่ยวจึ่งไล่ลูกรักเป็นหนักหนา,นกขุนทองป้องปีกขึ้นวันทา,ลูกอยู่ค่าคบไม้พระไทรพราย
ออกเที่ยวเล่นเห็นเหยี่ยวไม่ทันหลีก,มันกางปีกต้อนจับลูกใจหาย,ได้พึ่งบุญคุณพ่อจึ่งรอดตาย,ลูกถวายชีวาเป็นข้าไท
สองพระองค์ทรงฟังขุนทองพลอด,เข้าจูบกอดเชยชิดพิสมัย,น่าเอ็นดูรู้พูดเล่นเป็นพ้นใจ,เจ้ามาไปด้วยพ่อจะขอชม
อันเหยี่ยวกาสารพัดที่สัตว์ร้าย,ไม่ให้กรายลูกเลยเท่าเส้นผม,พระตรัสพลางทางชวนกันเชยชม,จนแดดร่มสุริยงเย็นสบาย
สองกระษัตริย์ตรัสชวนสกุณชาติ,ภาณุมาศสายัณห์จะผันผาย,อีเหยี่ยวเฉี่ยวลูกน้อยเป็นรอยลาย,ยังเจ็บกายพ่อกอดอย่าบินบน
แล้วชวนน้องประคองนกเหาะระเห็จ,สองเสด็จมาในท้องห้องเวหน,พระแรมไพรไคลคลานภาดล,ประจวบจนเจ็ดราษราตรี
บรรลุถึงพาราเมืองกาหลง,พอสุริยงรุ่งรางสว่างศรี,พระลอยลมชมราชธานี,ประกอบมีปรางค์มาศปราสาททอง
ทั้งตึกกว้านบ้านเรือนโรงหัตถี,ตลอดมีร้านรายขายข้าวของ,ทั้งม้ารถคชพลอนนต์นอง,นครของใครหนอสนุกครัน
จะลงไปไถ่ถามแต่ตามชื่อ,จะอึงอื้อตกใจทั้งไอศวรรย์,สำนักนอกธานีเห็นดีครัน,ถามสำคัญนัคราดูอาการ
นกขุนทองสององค์ก็พร้อมจิต,พลางพินิจหาที่รโหฐาน,พอเห็นสวนพฤกษาน่าสำราญ,นฤบาลรีบเหาะระเห็จไป
ครั้นถึงจึ่งลงพลางที่กลางสวน,พระชี้ชวนให้น้องชมพฤกษาไสว,ทั้งสระศรีมีบัวขึ้นบังใบ,ตำหนักใหญ่งามหยาดสะอาดตา
เห็นกระท่อมตายายอยู่ท้ายสวน,พระชี้ชวนคลาไคลเข้าไปหา,ครั้นถึงเรือนเอื้อนโอษฐ์จำนรรจา,จึ่งตรัสว่าปราศรัยเป็นไมตรี
ท่านตายายอย่าระคายระคางหมาง,นี่ใครสร้างพระตำหนักแลสวนศรี,ดูพฤกษาน่าชมอุดมดี,ไม่เห็นมีคนผู้มาเก็บกิน
ฝ่ายตายายใจหายเมื่อแลเห็น,มองเขม้นเพ่งพิศคิดถวิล,ทั้งสองทรงดังองค์อมรินทร์,สองเฒ่าสิ้นสมประดีไม่มีใจ
แล้วยับยั้งตั้งสติตอบสนอง,พ่อทั้งสองเจ้าข้ามาแต่ไหน,เจ้าเป็นนายหรือชายสัญจรไพร,ขออภัยเถิดจงแจ้งแห่งความจริง
นี่สวนหลวงมีกระทรวงกระษัตริย์สร้าง,ประทานนางองค์ธิดาพระยาหญิง,ให้ข้าเฒ่าเฝ้าไล่ฝูงค่างลิง,แล้วหมอบนิ่งก้มหน้าไม่พาที
พระฟังสารสองเฒ่าเล่าแถลง,ประจักษ์แจ้งฤทัยพระโฉมศรี,ว่าจอมจักรพรรตราธิดามี,ให้ยินดีเป็นคู่เชยเคยประคอง
จึ่งตรัสว่าตายายอย่าพรายแพร่ง,จงเล่าแจ้งความจริงสิ่งทั้งสอง,เจตนาหานางเป็นคู่ครอง,ทั้งพี่น้องจากเมืองมาเดินไพร
อันลูกสาวเจ้านายของยายนั้น,ดูผิวพรรณชันษาสักเพียงไหน,พระบุตรีกับบูรีนั้นชื่อไร,ช่วยบอกให้รู้ความแต่ตามตรง
แม้นเหมือนหมายยายตาอย่าเศร้าหมอง,ทั้งเงินทองกองให้งามตามประสงค์,สองตายายแกก็ไหว้พระโฉมยง,พ่อคุณจงกรุณาอย่าพาที
ถึงเงินทองจะมากองให้ท่วมเกศ,ลูกเกรงเดชพระผู้ผ่านบูรีศรี,แม้นรู้ว่าข้าสื่อพระบุตรี,ทราบคดีตายายจะวายชนม์
แต่ชื่อเสียงรู้เพียงจะบอกได้,ที่จะให้สมจิตคิดขัดสน,ทูลกระหม่อมจอมเมืองมิ่งมงคล,ชื่อท้าวหลวิราชเจริญพร
ได้ดำรงนัคราเมืองกาหลง,อันนามองค์บุตรีศรีสมร,ชื่ออำพันมาลาพะงางอน,อรชรน้อยแน่งดังแกล้งกลึง
ถึงรูปเขียนเจียนวาดสะอาดเอี่ยม,จะเทียบเทียมพระลูกเจ้าไม่เท่าถึง,เหมือนรูปพ่อเห็นพอจะคล้ายคลึง,อย่าอื้ออึงให้เขารู้เอ็นดูยาย
พระฟังข่าวกล่าวโฉมประโลมจิต,พระทัยคิดเหมือนจะเห็นนางโฉมฉาย,หยิบจินดามาจากพระน้องชาย,พระนึกให้ตายายเป็นเงินทอง
กวักพระหัตถ์ตรัสเรียกทั้งสองเฒ่า,จงมาเอาไว้เถิดอย่าหม่นหมอง,ถึงเรื่องรักจะไม่ชักให้สมปอง,เราพี่น้องขอสำนักตำหนักจันทน์
ช่วยปกปิดกิตติศัพท์ให้สูญหาย,พอสบายแล้วเราจะผายผัน,พระตรัสพลางย่างขึ้นตำหนักพลัน,ให้ป่วนปั่นถึงสายสวาทเพียงขาดใจ
สนธยาจะไปหาเจ้าถึงห้อง,ที่อยู่ของน้องรักตำหนักไหน,ถ้าเล้าโลมโฉมยงไม่ปลงใจ,ก็ผิดในธรรมดาปรีชาชาย
จะรุกรบบิตุรงค์ให้ส่งเจ้า,มาคลึงเคล้าก็จะได้ดังใจหมาย,แม่ขวัญเมืองจะได้เคืองเรื่องระคาย,จำเบี่ยงบ่ายถ่ายความตามทำนอง
จึ่งตรัสเรียกสาลิกาเข้ามาใกล้,พ่อจะใช้ให้เจ้าถือสารสนอง,จะได้หรือมิได้เล่าเจ้าขุนทอง,ดูทำนองเล้าโลมนางโฉมยง
