w1,w2,w3,w4
ครานั้นพระองค์ผู้ทรงภพ,ปรารภจะประพาสพนาศรี,ด้วยข่าวข้างทางสุพรรณบุรี,ว่ากระบือเถื่อนมีอยู่มากครัน
จึงดำรัสตรัสสั่งขุนศรีวิชัย,มึงเร่งกลับไปสุพรรณนั่น,บอกอ้ายขุนไกรใจฉกรรจ์,ให้คุมไพร่พวกมันไปเตรียมการ
อีกห้าวันกูจะออกไปแรมไพร,ล้อมไล่มหิงสากล้าหาญ,ให้หาที่ดอนใหญ่ใกล้ลำธาร,จะตั้งค่ายรายด่านลานพลับพลา
อ้ายเหล่าอาสาห้าร้อยปลาย,ให้เร่งไล่ฝูงควายมาไว้ท่า,แล้วพระองค์ทรงผินพระพักตร์มา,สั่งพระยาเดโชผู้ชัยชาญ
จงเร่งรีบรัดจัดกระบวน,เลือกล้วนชาวเจ้าเหล่าทหาร,อิกทั้งพลม้าคชาธาร,ให้พร้อมในห้าวารจะยกไป
ฝ่ายพระยาเดโชผู้รับสั่ง,มาทิมดาบกรมวังหาช้าไม่,สั่งการนายชำนาญในทันใด,รับสั่งให้หมายทั่วพนักงาน
จะเสด็จประพาสพนาวา,ล้อมไล่มหิงสากล้าหาญ,นายเวรกรมวังได้ฟังการ,เขียนหมายลนลานลงทันใจ
เขียนแล้วก็ส่งให้นักการ,รับหมายเดินงานไม่ช้าได้,ส่งให้นายเวรมหาดไทย,เร่งหมายบอกออกไปให้ทั่วกัน
ฝ่ายว่านายควรมหาดไทย,เอาหมายไปเรียนท่านผู้ใหญ่นั่น,บัดนี้จะเสด็จเมืองสุพรรณ,ให้ห้าวันตามที่มีหมายมา
ครานั้นเจ้าพระยาจักรี,ครั้นแจ้งคดีแล้วให้หา,พันพุฒพันจันท์มิทันช้า,พร้อมกันที่ศาลาลูกขุนใน
เรียกทั้งพันเภากับพันภาณ,เอาบาญชีคลี่อ่านหาช้าไม่,เกณฑ์ช้างม้าผู้คนสับสนไป,พนักงานของใครให้รีบมา
