w1,w2,w3,w4
จะกล่าวถึงพระองค์ผู้ทรงเดช,ทุกประเทศเกรงเหลือทั้งเหนือใต้,สถิตยังปรางค์มาศปราสาทชัย,สนมในกราบก้มประนมกร
สำราญราชหฤทัยอยู่ในที่,พระสุริย์ศรีบ่ายคล้อยลงอ่อนอ่อน,สำอางองค์ทรงเครื่องเรืองบวร,บทจรออกพระโรงรัตนา
ตรัสประภาษราชการบ้านเมือง,ไม่ขุ่นเคืองพระทัยให้หรรษา,ผันพระพักตร์ดำรัสตรัสมา,ดูราจมื่นศรีผู้แว่นไว
อ้ายพลายแก้วที่ตั้งเป็นขุนแผน,ครั้งตีแดนเมืองลาวลงมาได้,ยังหนุ่มแน่นกล้าหาญชาญชัย,ถ้าใช้สอยนานไปจะได้การ
แต่เดี๋ยวนี้ให้เกณฑ์ตระเวนไพร,ไม่เคยเอามาใช้ในราชฐาน,ถ้าปล่อยปละละเลยเสียช้านาน,การงานเวียงชัยไหนจะรู้
ญาติวงศ์พงศามันไม่มี,จมื่นศรีสิสันทัดฝึกหัดอยู่,กูฝากอ้ายแผนด้วยช่วยเป็นครู,เอามาใช้ในหมู่มหาดเล็ก
ยังอ้ายขุนช้างชาวสุพรรณ,พ่อมันก็มาให้ไว้แต่เด็ก,หัวหูเลี่ยนล้านเหมือนกระบานเจ๊ก,เมื่อแต่เล็กได้รับกับพ่อมัน
ขอฝากเจ้าด้วยช่วยอิกคน,ลองฝึกฝนดูไปเป็นไรนั่น,ให้ไปทั้งกาญจน์บุรีที่สุพรรณ,เอาอ้ายสองคนนั้นมาไวไว
ครานั้นพระหมื่นศรีได้รับสั่ง,ถอยหลังคลานมาหาช้าไม่,บอกเจ้ากรมจัดพวกตำรวจใน,รีบรัดเร่งไปในทันที
ครั้นถึงเขาชนไก่ไปที่บ้าน,เล่าขานแก่ขุนแผนเป็นถ้วนถี่,รับสั่งสมเด็จพระพันปี,ให้หาท่านนี้ไปพารา
จะฝึกสอนราชการที่ในวัง,ขุนแผนได้ฟังก็หรรษา,ไปแถลงแจ้งความแก่มารดา,ลูกจะลาเข้ากรุงพรุ่งนี้เช้า
ด้วยรับสั่งสมเด็จพระพันวษา,ให้หาลูกนี้เข้าไปเฝ้า,จะฝึกหัดราชการงานหนักเบา,ขอฝากเจ้าลาวทองให้แม่ไว้
เมื่อลูกมีบ้านช่องข่องแขว,ก็จะมารับแม่ไปไว้ใกล้,ถึงอยู่กรุงหนทางไม่ห่างไกล,จะมาไปไม่นิ่งทิ้งมารดา
ครานั้นจึงนางทองประศรี,ได้ฟังคดีที่ลูกว่า,แกดีใจจนหลั่งถั่งน้ำตา,ลูบหลังลูบหน้าด้วยปรานี
ไปเถิดเจ้าอย่าเฝ้าเป็นห่วงใย,เมียของเจ้านั้นไซร้ให้อยู่นี่,แม่จะกล่อมเกลี้ยงเลี้ยงทางนี้,มิให้มีเดือดร้อนรำคาญใจ
เจ้าอุตส่าห์อดเปรี้ยวไว้กินหวาน,ฝึกหัดราชการให้จงได้,ถ้าได้ดีมียศปรากฏไป,เหมือนแทนคุณขุนไกรผู้บิดา
