w1,w2,w3,w4
จะขอกล่าวราวเรื่องพระหัสกัน,กับโฉมวันชายามารศรี,ยังมิได้เสกสองครองบุรี,พระชนนีจัดงานการวิวาห์
จะเสกสองครองกรุงให้ฟุ้งเฟื่อง,เป็นเจ้าเมืองปรากฏด้วยยศถา,เสร็จออกนั่งยังแท่นรจนา,เรียกโหราเข้ามาฟังสั่งคดี
โหราจับกระดานคูณหารเลข,เสียโปกเปกคูณหารการเหตุผล,อันสี่ค่ำฤกษ์เย็นเป็นมงคล,ศุกร์จรดลมาอุตม์ถึงพุธา
จึ่งกราบทูลนางพระยาว่าข้าบาท,ชำระธาตุตามที่คัมภีร์ไสย,วันสี่ค่ำตามโฉลกมีโชคชัย,ควรจะให้ตั้งงานการพิธี
นางกษัตริย์ฟังอรรถโหราถวาย,สั่งให้หมายตั้งการภิเษกศรี,เสนารับอภิวันท์ด้วยทันที,พระเสาวนีย์รับสั่งให้ตั้งการ
มาบาดหมายทุกตำแหน่งให้แต่งเครื่อง,กรมเมืองกรมท่าโยธาหาญ,เกณฑ์ขุนหมื่นพันทนายมาใช้การ,ปลูกโรงร้านรำเต้นเล่นประชัน
หมายสนมกรมวังให้ตั้งเครื่อง,ตามบทเบื้องสารพัดเร่งจัดสรร,พระแท่นสรงพรรณรายลายสุวรรณ,มีม่านกั้นพื้นขาวดาวกระจาย
นางสำหรับขับขานประสานเสียง,เครื่องจำเรียงปี่อ้อแลซอสี,พวกสำหรับขับไม้มโหรี,มาพร้อมที่พระปรัศว์ชัชวาล
บายศรีเงินทองแก้วดูแวววับ,สามสำรับพานทองใส่ของหวาน,แว่นวิเชียรเทียนทองของตระการ,ปักบนพานทองเคียงไว้เรียงราย
ขวดกระแจะจวงจันทน์กลั่นเกสร,มะพร้าวอ่อนจัดแจงแต่งถวาย,เครื่องเฉลิมเจิมขวัญสุพรรณพราย,เอาจัดรายเรียงตั้งบัลลังก์ทอง
ฝ่ายกษัตริย์หัสกันถึงวันฤกษ์,พระทัยเบิกเปรมปรีดิ์ไม่มีหมอง,ออกพระแท่นบุษบกกระหนกทอง,ประโคมกลองแตรฝรั่งกังสดาล
ประโรหิตโหราพฤฒาเฒ่า,ต่างก้มเกล้าเชิญพระองค์สรงสนาน,ขึ้นพระแท่นอุทุมพรเหมือนก่อนกาล,พนักงานถวายผ้าภูษาทรง
