w1,w2,w3,w4
พระอภัยมณีศรีสุวรรณ,เห็นกำปั่นโอบอ้อมเข้าล้อมหลัง,ดูมากมายซ้ายขวาดาประดัง,จึงตรัสสั่งสินสมุทรสุดศักดา
จงคิดอ่านการสงครามตามแต่เจ้า,ผู้ใดเขาเคยศึกจงปรึกษา,เอ็นดูพ่อขอแต่ลูกเจ้าลังกา,อย่าเข่นฆ่าชีวันให้บรรลัย
ฝ่ายพระหน่อบพิตรอดิศร,ฟังบิดรยินดีจะมีไหน,จึงทูลว่าอย่าประหวั่นพรั่นพระทัย,ลูกมิให้พระบิดรร้อนรำคาญ
แล้วทูลลามาสั่งอังกุหร่า,จงตรวจตราเตรียมพหลพลทหาร,เรือลังกามาหมายจะรอนราญ,จะคิดอ่านรับรองทำนองไร
อังกุหร่าว่าเรือเรากว้างขวาง,รบให้ห่างอย่าให้ถึงจึงจะได้,ฉวยรบรับสัประยุทธ์มันจุดไฟ,จะแก้ไขขัดสนจนปัญญา
ขอพระองค์จงออกรับกองทัพหลวง,ข้าทั้งปวงจะได้รับทัพซ้ายขวา,ข้างหลังไว้ให้ทหารพระเจ้าอา,รายรักษาแซงกันให้ทันการ
แล้วเร่งรัดหัศเกนลงเรือรบ,บรรจุครบเครื่องศัสตราล้วนกล้าหาญ,ใส่เสื้อหมวกพวกละพันประจัญบาน,เคียงขนานหนุนรับทัพลังกา
แต่คนน้อยคอยรบประจบรับ,แทรกสลับเปลี่ยนซ้ายย้ายไปขวา,ใส่ธงเทียวเขียวแดงดาษดา,เป็นเรือห้าร้อยถ้วนกระบวนรบ
พลประจำลำทรงสินสมุทร,ถืออาวุธโล่เขนล้วนเจนจบ,ทั้งหน้าหลังดั้งกันก็ครันครบ,ทหารรบเรือใหญ่ให้ประจำ
ปืนจังกาหน้าท้ายทั้งรายข้าง,เกณฑ์ลูกจ้างจีนไทยพวกไหหลำ,ให้ทำค่ายรายตั้งล้วนถังน้ำ,ตลอดลำสำหรับไว้ดับเพลิง
แล้วรีบร้อนถอนสมอกำปั่นใหญ่,แต่พอให้เคลื่อนคล้อยออกลอยเหลิง,ทหารโห่โกลาดูร่าเริง,ล้วนรู้เชิงชิงชัยทั้งไพร่นาย
ครั้นพร้อมสิ้นสินสมุทรให้หยุดยั้ง,ฟังกำลังข้าศึกเหมือนนึกหมาย,แล้วมาหาแม่เลี้ยงเข้าเคียงกาย,น้อมถวายอภิวันท์จำนรรจา
ลูกจัดทัพกับฝรั่งอังกุหร่า,จะทูลลายกไปไล่สังหาร,นางตกใจให้เอ็นดูพระกุมาร,แสนสงสารโศกาแล้วว่าพลาง
น้อยหรือพระอภัยช่างใจชั่ว,ลูกของตัวเจียวยังตัดว่าขัดขวาง,ให้แสนแค้นแน่นในฤทัยนาง,กันแสงพลางอุตส่าห์ฝืนกลืนน้ำตา
แล้วว่าแม่นี้เป็นหญิงก็จริงอยู่,แต่ได้รู้กลศึกลึกนักหนา,จะไปด้วยช่วยกันรบกับลูกยา,จะน้อยหน้าพระอภัยทำไมมี
นางดีใจไปจริงนะลูกแก้ว,แม่อายแล้วชาตินี้ไม่มีผัว,ไม่แต่งองค์สรงน้ำให้คล้ำมัว,นางแต่งตัวให้โอรสยศยง
สอดสนับเพลากระหนกนุ่งยกแย่ง,ช่วยจัดแจงจีบวางไว้หางหงส์,ทั้งผ้าทิพย์ขลิบทองฉลององค์,กระสันทรงสายสอดพิรอดรัด
ใส่ห้อยหน้าตาชุนชายกระหนก,ชายแครงปกเพลาพรายปลายสะบัด,คาดปั้นเหน่งเปล่งเม็ดเพชรรัตน์,ประจงจัดเจียระบาดตาดเงินงาม
ใส่กรอบนวมสวมประดับสำหรับยุทธ์,สังวาลบุษราเรืองเหลืองอร่าม,ทองกรเพชรเจ็ดคู่ล้วนดูงาม,เครื่องสงครามครบอย่างสำอางตา
แล้วกวดเกล้าเมาลีให้ลูกรัก,เสียบปิ่นปักเกี้ยวกุดั่นกันเกศา,ธำมรงค์คงกระพันกันศัสตรา,ใส่กรอบหน้าเหน็บตรีกระบี่กราย
แล้วโฉมยงทรงเครื่องพิชัยยุทธ์,อย่างบุรุษรัดกระสันให้ถันหาย,ใส่เสื้อกลีบจีบเอวสำอางกาย,สังวาลสายสร้อยสลับประดับเพชร
นางยิ้มพลางทางชวนโอรสราช,พ่อเชื้อชาติชายเชิญออกเดินหน้า,แล้วโฉมยงทรงกั้นหยั่นกันกายา,ตามกันมาใครไม่ทันสำคัญแคลง
เที่ยวเดินดูหมู่พหลพลรบ,แซงสมทบหมู่ทหารชาญกำแหง,กระบวนตั้งดังพระยาเหราแรง,จะวัดแว้งไพรีไม่หนีทัน
แล้วแลดูโยธาลังกาตั้ง,เป็นกำลังนาคราชจะผาดผัน,มีหัวหางวางเขี้ยวดูเกี่ยวกัน,คอยรัดพันไพรินดังจินดา
ด้วยโฉมตรูรู้พิชัยสงครามครบ,กระบวนรบเห็นจะแพ้โอรสา,ด้วยนาคีมีแต่กายฝ่ายเหรา,มีบาทาราวีคงมีชัย
พินิจพลางทางเดินตามโอรส,เที่ยวเลี้ยวลดรอบลำกำปั่นใหญ่,พวกโยธีรี้พลสกลไกร,ไม่มีใครสงกาว่านารี
ด้วยผู้คนมากมายหลายภาษา,สำคัญว่านายหมวดตรวจหน้าที่,ถึงเก๋งก่อต่อท้ายสบายดี,นางเทวีหยุดนั่งทั้งโอรส
แขกฝรั่งอังกฤษนายทหาร,มากราบกรานนอบน้อมอยู่พร้อมหมด,นางเมินเมียงเคียงกระซิบสอนโอรส,เห็นเมฆหมดลมตั้งกำบังบน
ยกออกรับทัพลังกาอย่าให้ชิด,ฉวยเพลิงติดลมพัดจะขัดสน,ให้รบสู้ดูกำลังลำพังตน,ต่ออับจนเจ้าจึงโจมออกโรมรัน
โอรสรับจับชุดจุดปืนไฟ,เสียงฟับไฟฟูฟูมตูมสนั่น,โยธาทัพรับโห่ขึ้นพร้อมกัน,ออกกำปั่นเป็นกระบวนชวนชิงชัย
ฝ่ายฝรั่งลังกาล้วนกล้าหาญ,เห็นได้การเกิดลมพายุใหญ่,โห่สนั่นสัญญายิงปืนใหญ่,ต่างลดใบโบกธงเข้ายงยุทธ์
พลทมิฬสินสมุทรจุดปืนหลัก,บ้างเยื้องยักยิงบ้างเสียงผางผึง,แต่คลื่นโยนโดนดังเสียงปังปึง,โลดทะลึ่งล่มทลายลงหลายลำ
บ้างแยะแยกแตกปรุทะลุโล่ง,กระดานกระโดงหักผ่าเภตราคว่ำ,ทั้งสองข้างต่างตายบ้างว่ายน้ำ,บ้างกอดปล้ำกันจนปลาคร่าเอาไป
พลลังกาหนาแน่นแล่นตลบ,เข้ารุกรบรับกันเสียงหวั่นไหว,พวกโจรน้อยถอยรบไม่หลบไกล,ยิงปืนใหญ่แย้งกันสนั่นดัง
สินสมุทรสุดสนุกลุกขึ้นโลด,แกว่งดาบโดดลงกำปั่นแล้วผันผาย,ให้โบกธงลงข้างขวามาข้างซ้าย,สัญญานายเรือรบสมทบทัพ
แล้วให้ยิงปืนใหญ่ออกไปช่วย,ทหารฉวยชุดจ้องมองซ้ายขวา,เห็นมั่นคงตรงเรือชาวลังกา,ยิงประดาโด่งดังเสียงตังตึง
แต่ละลูกถูกเรือลังกาแตก,บ้างแยะแยกคลื่นโยนโจนทะลึ่ง,พระหน่อไทได้ทีตีตะบึง,จนเรือถึงกันหมดไม่ลดละ
ทหารโจรโยนโซ่เอาขอสับ,ขึ้นไล่จับฟันฝรั่งดังฉัวะฉะ,บ้างรับรบล้มกลิ้งวิ่งปะทะ,ข้างเรือพระหน่อไทไล่เลี้ยวลด
โจนขึ้นได้ไล่ฟาดเสียงฉาดฉับ,ฝรั่งรับรอบข้างทั้งดั้งเขน,พระฟันตายก่ายกองนองระเนน,อุศเรนรำทวนเข้าสวนแทง
สินสมุทรชำนาญการกระบี่,ปะทะทีโถมฟันด้วยขันแข็ง,อุศเรนเผ่นฟาดก็พลาดแพลง,แล้วพลิ้วแทงถูกกุมารจนซานองค์
สินสมุทรผุดลุกขึ้นไล่จับ,ทหารรับป้องกันฟันผุยผง,แผลงศักดากล้าหาญชาญณรงค์,รวบได้องค์ลูกท้าวเจ้าลังกา
เอาเชือกมัดรัดมือแล้วถือไว้,พลไพร่พรั่นตัวกลัวหนักหนา,ทิ้งอาวุธหยุดกราบทั้งเภตรา,กุมาราเรียกไพร่ให้เข้ารับ
อุศเรนเผ่นโผนโจนจะม้วย,ทหารฉวยฉุดกายทั้งซ้ายขวา,ถึงเรือใหญ่ให้พยุงจูงขึ้นมา,ตรงไปหาชนนีด้วยดีใจ
ค่อยค่อยว่าฆ่าเสียเถิดหรือคะ,นางว่าพระบิดาจะว่าได้,แล้วโฉมยงสงสารรำคาญใจ,จะดูไม่เต็มเนตรเวทนา
อันใจพี่นี้ไม่หวงไม่ลวงหลอก,แต่พี่บอกน้องรักขืนหักหาญ,จึงให้น้องลองสู้กับกุมาร,เดี๋ยวนี้ท่านเล่าก็แพ้แก่โอรส
เราขอไว้ไม่เอาทั้งข้าวของ,คืนสนองคุณให้ท่านไปหมด,แล้วเหลียวหลังมาอ้อนวอนโอรส,ขอแทนทดคุณท่านโดยสารมา
สินสมุทรนบนอบตอบสนอง,ลูกจำต้องตีทัพรับอาสา,ซึ่งชิงชัยได้ชนะพระเจ้าอา,พระมารดาดอกสันทัดท่านจัดการ
แล้วให้ยิงปืนใหญ่ออกไปช่วย,จึงได้ด้วยพระปัญญาปรีชาหาญ,แล้วหันหน้ามาประณตบทมาลย์,ยกให้ท่านเสียเถิดนะพระมารดา
นางเมียงเมินเขินอายซังตายตอบ,ตามระบอบเปรียบประชดโอรสา,เราคิดอ่านการศึกช่วยตรึกตรา,เพราะเห็นว่ายังเด็กเล็กเหลือใจ
ไม่มีผู้ชูช่วยจะม้วยมอด,เมื่อเจ้ารอดแล้วก็ตามอัชฌาสัย,แล้วเมินเมียงเลี่ยงหลีกลีลาไป,เข้าเสียในห้องหับให้ลับตา
พระอภัยไม่ทันพิศคิดว่าแขก,ด้วยแปลงแปลกรูปจริตขนิษฐา,ครั้นรู้แน่แลยิ้มพริ้มพักตรา,พอสุดาเดินกลับไปลับองค์
อุศเรนเห็นวับไปลับพักตร์,กำเริบรักร้อนจิตพิศวง,ให้แสนแค้นแสนอายซังตายตรง,เดินไปลงเรือกลับไปลับลำ
ทอดสมอรอท่าโยธาหาญ,จะคิดอ่านรุกรบต่อพลบค่ำ,ครั้นโยธามาพร้อมเข้าล้อมลำ,ให้นับกำปั่นใหญ่ดังใจปอง
ได้หกร้อยย่อยยับเสียเกือบกึ่ง,ยิ่งโกรธขึ้งหมกมุ่นให้ขุ่นหมอง,เรียกสุรามาเสวยสามขันทอง,แล้วตรึกตรองเตรียมการจะราญรอน
สงสารองค์พระอภัยวิไลลักษณ์,แต่ยลพักตร์พุ่มพวงดวงสมร,ถวิลหวังนั่งรำพึงถึงบังอร,จะพาจรไปจังหวัดรัตนา
บัดนี้เล่าเจ้าก็พาอามาพบ,ทั้งรุกรบมีชัยดังใจหวัง,ไปพาราย่าปู่ขึ้นสู่วัง,ให้พร้อมพรั่งวงศาเสนาใน
