w1,w2,w3,w4
ออกจากวัดทัศนาดูอาวาศ,เมื่อตรุษสารทพระวสาได้อาไศรย,สามระดูอยู่ดีไม่มีไภย,มาจำไกลอารามเมื่อยามเย็น
โอ้อาวาศราชบุรณะพระวิหาร,แต่นี้นานนับทิวาจะมาเห็น,เหลือรำฦกนึกน่าน้ำตากระเด็น,เพราะขุกเข็ญคนพาลมารานทาง
จะยกหยิบธิบดีเปนที่ตั้ง,ก็ใช้ถังแทนสัดเห็นขัดขวาง,จึ่งจำลาอาวาศนิราศร้าง,มาอ้างว้างวิญญาในสาคร
ถึงน่าวังดังหนึ่งใจจะขาด,คิดถึงบาทบพิตรอดิศร,โอ้ผ่านเกล้าเจ้าประคุณของสุนทร,แต่ปางก่อนเคยเฝ้าทุกเช้าเย็น
พระนิพพานปานประหนึ่งศีศะขาด,ด้วยไร้ญาติยากแค้นถึงแสนเข็ญ,ทั้งโรคซ้ำกรรมซัดวิบัติเปน,ไม่เลงเห็นที่ซึ่งจะพึ่งพา
จะสร้างพรตอดส่าห์ส่งบุญถวาย,ประพฤฒิฝ่ายสมถะทั้งวสา,เปนสิ่งของฉลองคุณมุลิกา,ขอเปนข้าเคียงพระบาททุกชาติไป
ถึงน่าแพแลเห็นเรือที่นั่ง,คิดถึงครั้งก่อนมาน้ำตาไหล,เคยหมอบรับกับพระจมื่นไวย,แล้วลงในเรือที่นั่งบัลลังก์ทอง
เคยทรงแต่งแปลงบทพจนาดถ์,เคยรับราชโองการอ่านฉลอง,จนกฐินสิ้นแม่น้ำในลำคลอง,มิได้ข้องเคืองขัดหัทยา
เคยหมอบใกล้ได้กลิ่นสุคนธ์ตระหลบ,ลอองอบรศรื่นชื่นนาสา,สิ้นแผ่นดินสิ้นรศสุคนธา,วาศนาเราก็สิ้นเหมือนกลิ่นสุคนธ์
ดูในวังยังเห็นหอพระอัฐิ,ตั้งสติเติมถวายฝ่ายกุศล,ทั้งปิ่นเกล้าเจ้าพิภพจบสกล,ให้ผ่องพ้นไภยสำราญผ่านบุริน
ถึงอารามนามวัดประโคนปัก,ไม่เห็นหลักฦๅเล่าว่าเสาหิน,เปนสำคัญปันแดนในแผ่นดิน,มิรู้สิ้นสุดชื่อที่ฦๅชา
ขอเดชะพระพุทธคุณช่วย,แม้นมอดม้วยกลับชาติวาศนา,อายุยืนหมื่นเท่าเสาศิลา,อยู่คู่ฟ้าดินได้ดังใจปอง
ไปพ้นวัดทัศนาริมท่าน้ำ,แพประจำจอดรายเขาขายของ,มีแพรผ้าสารพัดสีม่วงตอง,ทั้งสิ่งของขาวเหลืองเครื่องสำเภา
ถึงโรงเหล้าเตากลั่นควันโขมง,มีคันโพงผูกสายไว้ปลายเสา,โอ้บาปกรรมน้ำนรกเจียวอกเรา,ให้มัวเมาเหมือนหนึ่งบ้าเปนน่าอาย
ทำบุญบวชกรวดน้ำขอสำเร็จ,สรรเพ็ชญ์โพธิญาณประมาณหมาย,ถึงสุราพารอดไม่วอดวาย,ไม่ใกล้กรายแกล้งเมินก็เกินไป
ไม่เมาเหล้าแล้วแต่เรายังเมารัก,สุดจะหักห้ามจิตรจะคิดไฉน,ถึงเมาเหล้าเช้าสายก็หายไป,แต่เมาใจนี้ประจำทุกค่ำคืน
ถึงบางจากจากวัดพลัดพี่น้อง,มามัวหมองม้วนหน้าไม่ฝ่าฝืน,เพราะรักใคร่ใจจืดไม่ยืดยืน,จึงต้องขืนใจพรากมาจากเมือง
ถึงบางพลูคิดถึงคู่เมื่ออยู่ครอง,เคยใส่ซองส่งให้ล้วนใบเหลือง,ถึงบางพลัดเหมือนพี่พลัดมาขัดเคือง,ทั้งพลัดเมืองพลัดสมรมาร้อนรน
ถึงบางโพธิ์โอ้พระศรีมหาโพธิ์,ร่มนิโรธรุกขมูลให้ภูลผล,ขอเดชะอานุภาพพระทศพล,ให้ผ่องพ้นไภยพาลสำราญกาย
ถึงบ้านญวนล้วนแต่โรงแลสพรั่ง,มีของขังกุ้งปลาไว้ค้าขาย,ตรงน่าโรงโพงพางเขาวางราย,พวกหญิงชายพร้อมเพรียงมาเมียงมอง
จะเหลียวกลับลับเขตรประเทศสถาน,ทรมานหม่นไหม้ฤไทยหมอง,ถึงเขมาอารามอร่ามทอง,พึ่งฉลองเลิกงานเมื่อวานซืน
โอ้ปางหลังครั้งสมเด็จพระบรมโกษฐ์,มาผูกโบสถ์ก็ได้มาบูชาชื่น,ชมพระพิมพ์ริมผนังยังยั่งยืน,ทั้งแปดหมื่นสี่พันได้วันทา
โอ้ครั้งนี้มิได้เห็นเล่นฉลอง,เพราะตัวต้องตกประดาษวาศนา,เปนบุญน้อยพลอยนึกโมทนา,พอนาวาติดชลเข้าวนเวียน
ดูน้ำวิ่งกลิ้งเชี่ยวเปนเกลียวกลอก,กลับกระฉอกฉาดฉัดฉวัดเฉวียน,บ้างพลุ่งพลุ่งวุ้งวงเหมือนกงเกวียน,ดูเปลี่ยนเปลี่ยนคว้างคว้างเปนหว่างวน
ทั้งหัวท้ายกรายแจวกระชากจ้วง,ครรไลล่วงเลยทางมากลางหน,โอ้เรือพ้นวนมาในสาชล,ใจยังวนหวังสวาดิ์ไม่คลาศคลา
ตลาดแก้วแล้วไม่เห็นตลาดตั้ง,สองฟากฝั่งก็แต่ล้วนสวนพฤกษา,โอ้รินรินกลิ่นดอกไม้ใกล้คงคา,เหมือนกลิ่นผ้าแพรร่ำดำมะเกลือ
