w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
นางพลิกฟื้น,ตื่นคว้า,ผวาหวาด,ร้องกรีดกราด,มิได้หยุด,จนสุดเสียง,บรรดาเหล่า,สาวใช้,นอนใกล้เคียง,นางพี่เลี้ยง,ตกใจ,กระไรเลย,ผวากอด,ยอดมิ่ง,วิมลโฉม,ปลอบประโลม,เป็นไรเล่า,แม่เจ้าเอย,จงบอกพี่,เถิดหนาน้อง,อย่าร้องเลย,ขอเชิญเผย,เสาวนีย์,ช่วยชี้แจง
ฝ่ายโฉมยง,องค์ธิดา,พระยาหญิง,สมรมิ่ง,เธอจึงกล่าว,เล่าแถลง,ฉันฝันเห็น,นาคา,นัยน์ตาแดง,มันเรี่ยวแรง,รัดรึง,ไว้ตรึงตรา,ทั้งปราสาท,ราชวัง,ในจังหวัด,ก็รวบรัด,เขตแดน,ไว้แน่นหนา,แล้วพ่นพิษ,ปิดแสงพระ,สุริยา,น้องผวา,พลิกฟื้น,พอตื่นนอน
นางพี่เลี้ยง,รู้ตำรา,ภาษาแขก,เทวดา,มาแทรก,จึ่งสังหรณ์,คงได้คู่,สู่สม,สยมพร,ต่างนคร,คงจะมา,ไม่ช้านาน,จึงทูลกับ,พุ่มพวง,นางดวงแข,นี่แน่แม่,จะได้คู่,สู่สมาน,ร่วมภิรมย์,สมองค์,สมวงศ์วาน,จึงบันดาล,ให้แม่ฝัน,อย่ารัญจวน
จึงทูลกับ,พุ่มพวง,นางดวงแข,นี่แน่แม่,จะได้คู่,สู่สมาน,ร่วมภิรมย์,สมองค์,สมวงศ์วาน,จึงบันดาล,ให้แม่ฝัน,อย่ารัญจวน,พระธิดา,ว่าตัว,ของน้องนี้,ไม่อยากมี,คู่ครองประ,คองสงวน,เหมือนอย่าง,เขาว่าไว้,น้องใคร่ครวญ,เป็นที่กวน,ใจนัก,ไม่รักมี
พวกเสมียน,เขียนคำ,ทำอักษร,ไปนคร,เร็วพลัน,ด้วยหรรษา,ถึงแล้วเข้า,กราบทูล,มูลิกา,เจ้าชวา,ทราบสิ้น,ก็ยินดี,ให้จัดแจง,แต่งเรือ,ลงไปรับ,มาประทับ,อยู่พลับพลา,หลังคาสี,ให้เลี้ยงดู,หมู่พหล,แลมนตรี,จงเป็นที่,เปรมปรา,สถาวร
ให้จัดแจง,แต่งเรือ,ลงไปรับ,มาประทับ,อยู่พลับพลา,หลังคาสี,ให้เลี้ยงดู,หมู่พหล,แลมนตรี,จงเป็นที่,เปรมปรา,สถาวร,ครั้นสั่งเสร็จ,พระเสด็จ,ยุรยาตร,ขึ้นปรางค์มาศ,เนาวรัตน์,ประภัสสร,พวกจัดแจง,แต่งที่นั่ง,อลังกรณ์,เรือไกรสร,สิงหราช,สะอาดตา
ครั้นสั่งเสร็จ,พระเสด็จ,ยุรยาตร,ขึ้นปรางค์มาศ,เนาวรัตน์,ประภัสสร,พวกจัดแจง,แต่งที่นั่ง,อลังกรณ์,เรือไกรสร,สิงหราช,สะอาดตา,เรือกระบวน,ทวนธง,เอาลงปัก,ทั้งคู่ชัก,แห่แหน,ดูแน่นหนา,มยุรฉัตร,พัดบัง,อย่างชวา,ร่มระย้า,ยาวสั้น,กั้นขุนนาง
ทรงมหา,มาลาจิน,ดาประดับ,กระจ่างจับ,แจ่มจำรัส,ประภัสสร,ธำมรงค์,เรืองจินดา,ค่านคร,ถือตรีเพชร,เสด็จจร,ลงนาวา,บาทหลวงแต่ง,ตัวใหม่,ลงไปด้วย,จะได้ช่วย,ป้องกัน,ให้หรรษา,แล้วรีบเร่ง,เรือใช้,ให้ไคลคลา,โห่สามลา,ตีฆ้อง,กลองประโคม
บาทหลวงแต่ง,ตัวใหม่,ลงไปด้วย,จะได้ช่วย,ป้องกัน,ให้หรรษา,แล้วรีบเร่ง,เรือใช้,ให้ไคลคลา,โห่สามลา,ตีฆ้อง,กลองประโคม,กระบวนแห่,แซ่ซ้อง,ก้องสนั่น,พลขันธ์,ครื้นครึก,แห่ฮึกโหม,ทั้งสังข์แตร,แซ่สำเนียง,เสียงครึกโครม,บาทหลวงโส,มนัสรื่น,ชื่นอุรา
กระบวนแห่,แซ่ซ้อง,ก้องสนั่น,พลขันธ์,ครื้นครึก,แห่ฮึกโหม,ทั้งสังข์แตร,แซ่สำเนียง,เสียงครึกโครม,บาทหลวงโส,มนัสรื่น,ชื่นอุรา,พอเรือแห่,มากระทั่ง,วังนิเวศน์,ถิ่นประเทศ,เมืองแขก,แปลกภาษา,พอแลเห็น,ท่านท้าว,เจ้าชวา,เธอลงมา,คอยอยู่,ท้ายบูรี
