w1_a,w1_b,w1_c,w2_a,w2_b,w2_c,w3_a,w3_b,w3_c,w4_a,w4_b,w4_c,w5_a,w5_b,w5_c,w6_a,w6_b,w6_c,w7_a,w7_b,w7_c,w8_a,w8_b,w8_c
ฝ่ายองค์พระ,อภัย,วิไลลักษณ์,ไม่สิ้นรัก,วัณฬา,มารศรี,คิดจะพา,ไปอยู่,ร่วมบูรี,เกรงสุวรรณ,มาลี,จะมิยอม,ดูผิวพรรณ,วัณฬาผิด,กว่าเก่า,พระพักตร์เศร้า,โศกรูป,ก็ซูบผอม,ยิ่งทอดทิ้ง,ยิ่งจะตรม,อารมณ์ตรอม,จะหายหอม,ดินถนัน,เพราะรัญจวน
แล้วแลดู,สุมาลี,ทำทีหึง,เกรงใจจึง,ตรองตรึก,เป็นปรึกษา,จะหยุดพัก,สักสอง,สามเวลา,ให้โยธา,ชื่นทั่ว,ทุกตัวคน,แล้วเลิกทัพ,กลับไป,เมืองรมจักร,เสกหลานรัก,ร่วมชีวา,สถาผล,เหมือนตัด,ห่วงบ่วงหลัง,สิ้นกังวล,จะได้พ้น,ทุกข์ร้อน,นอนสำราญ
พี่จากไป,ใจจริง,ไม่ทิ้งขว้าง,พอว่างว่าง,วายธุระ,จะมาหา,ฝ่ายโฉมยง,องค์ละเวง,เกรงบัญชา,กลั้นน้ำตา,ตอบรส,พจมาน,ได้พึงบุญ,ทูลกระหม่อม,จอมกษัตริย์,ดังชั้นฉัตร,กั้นเกศประ,เทศสถาน,ฤกษ์ใดดี,วิวาห์,ปรึกษาการ,โปรดให้ฉาน,ทราบความ,จะตามไป
ฝ่ายสุวรรณ,มาลีปรา,นีสนอง,สงสารน้อง,หาไหนจะ,ได้เหมือน,จะรักใคร่,ให้สนิท,ไม่บิดเบือน,ประสาเพื่อน,ผู้หญิง,ไม่ทิ้งกัน,จริงจริงนะ,จะใคร่ได้,แม่ไปด้วย,จะได้ช่วย,ว่ากล่าว,ฝูงสาวสรรค์,สาพิภักดิ์,รักองค์,พระทรงธรรม์,ไม่เดียดฉันท์,โฉมยง,อย่าสงกา
จริงจริงนะ,จะใคร่ได้,แม่ไปด้วย,จะได้ช่วย,ว่ากล่าว,ฝูงสาวสรรค์,สาพิภักดิ์,รักองค์,พระทรงธรรม์,ไม่เดียดฉันท์,โฉมยง,อย่าสงกา,แม่ทรงครรภ์,รัญจวนประ,ชวรไฉน,พี่จะได้,ฟูมฟัก,เฝ้ารักษา,ด้วยลูกเจ้า,เล่าก็น้อง,ของธิดา,ไม่ฉันทา,ทิ้งขว้าง,ให้ห่างไกล
แม่ทรงครรภ์,รัญจวนประ,ชวรไฉน,พี่จะได้,ฟูมฟัก,เฝ้ารักษา,ด้วยลูกเจ้า,เล่าก็น้อง,ของธิดา,ไม่ฉันทา,ทิ้งขว้าง,ให้ห่างไกล,ไม่โกรธขึ้ง,หึงหวง,ล่อลวงน้อง,อย่าเศร้าหมอง,หมางจิต,คิดไฉน,จะร่วมรู้,คู่ชีวิต,ร่วมจิตใจ,เชิญแม่ไป,บูรี,กับพี่ยา
ฝ่ายลูกเต้า,เอาศพไป,กลบฝัง,คอยระวัง,เวียนพิทักษ์,อยู่รักษา,ถ้าทิ้งไว้,ไปบุรี,กับพี่ยา,จะนินทา,ทั่วจังหวัด,ปัถพี,ว่าทิ้งญาติ,ศาสนา,พวกฝรั่ง,จะรุมชัง,รบพุ่ง,เอากรุงศรี,นิคมคาม,พราหมณ์มหุ่ม,กระฎุมพี,ไม่มีที่,พึ่งพา,จะอาดูร
ว่าทิ้งญาติ,ศาสนา,พวกฝรั่ง,จะรุมชัง,รบพุ่ง,เอากรุงศรี,นิคมคาม,พราหมณ์มหุ่ม,กระฎุมพี,ไม่มีที่,พึ่งพา,จะอาดูร,ซึ่งออกโอษฐ์,โปรดน้อง,จะครองเลี้ยง,พระคุณเพียง,ฟ้าดิน,ไม่สิ้นสูญ,เห็นมั่นคง,ทรงพระ,อนุกูล,จะเพิ่มพูน,ผาสุก,ทุกเวลา
ซึ่งออกโอษฐ์,โปรดน้อง,จะครองเลี้ยง,พระคุณเพียง,ฟ้าดิน,ไม่สิ้นสูญ,เห็นมั่นคง,ทรงพระ,อนุกูล,จะเพิ่มพูน,ผาสุก,ทุกเวลา,ขอยั้งอยู่,บูรี,สักปีหนึ่ง,เป็นที่พึ่ง,พวกญาติ,ศาสนา,รำลึกถึง,จึงจะได้,เวียนไปมา,ขอพึ่งพา,พี่นาง,จนวางวาย
ดูท่าทาง,นางละเวง,เห็นเกรงมาก,หมายจะฝาก,พวกพ้อง,พี่น้องเขา,นางมาลี,นี่ก็ใจ,ดีไม่เบา,จะเล่นเรา,ท่าไร,ก็ไม่รู้,อันถ่านเก่า,เถ้าคง,จะต่อติด,แต่ให้คิด,เขินขวย,ด้วยอดสู,แล้วหวนฮึก,นึกว่าเรา,ก็เจ้าชู้,ถึงจะขู่,ก็คงปลอบ,ให้ชอบใจ
