chapter,wak,cut_shape,current,opt_333,opt_423,opt_324,verdict,note
phraAphai_15.txt,แล้วเฉยเมยมิได้คิดถึงบิดา,"1st clean, 2nd mid","[3, 3, 3]",แล้วเฉยเมย | มิได้คิด | ถึงบิดา,แล้วเฉยเมยมิ | ได้คิด | ถึงบิดา,แล้วเฉยเมย | มิได้ | คิดถึงบิดา,,
phraAphai_24.txt,ประเทศแถวทางทิศสถิตเสถียร,"1st clean, 2nd mid","[3, 3, 3]",ประเทศแถว | ทางทิศสถิต | เสถียร,ประเทศแถวทาง | ทิศสถิต | เสถียร,ประเทศแถว | ทางทิศ | สถิตเสถียร,,
phraAphai_17.txt,ต่างคิดการแต่จะอพยพหนี,"1st clean, 2nd mid","[3, 3, 3]",ต่างคิดการ | แต่จะอพยพ | หนี,ต่างคิดการแต่ | จะอพยพ | หนี,ต่างคิดการ | แต่จะ | อพยพหนี,,
phraAphai_15.txt,จนมอดม้วยมิได้อางขนางหนี,"1st clean, 2nd mid","[3, 3, 3]",จนมอดม้วย | มิได้อาง | ขนางหนี,จนมอดม้วยมิ | ได้อาง | ขนางหนี,จนมอดม้วย | มิได้ | อางขนางหนี,,
phraAphai_21.txt,บ้างทูลขัดจะให้อางขนางหนี,"1st clean, 2nd mid","[3, 3, 3]",บ้างทูลขัด | จะให้อาง | ขนางหนี,บ้างทูลขัดจะ | ให้อาง | ขนางหนี,บ้างทูลขัด | จะให้ | อางขนางหนี,,
phraAphai_26.txt,พอโยธาพาศพมณฑปประดับ,"1st clean, 2nd mid","[3, 3, 3]",พอโยธา | พาศพมณ | ฑปประดับ,พอโยธาพา | ศพมณ | ฑปประดับ,พอโยธา | พาศพ | มณฑปประดับ,,
phraAphai_116.txt,ไปบินวนอยู่ริมนางในปรางค์ชัย,"1st clean, 2nd mid","[3, 3, 3]",ไปบินวน | อยู่ริมนาง | ในปรางค์ชัย,ไปบินวนอยู่ | ริมนาง | ในปรางค์ชัย,ไปบินวน | อยู่ริม | นางในปรางค์ชัย,,
phraAphai_115.txt,ทูลแถลงแจ้งข้อสุบินนิมิต,"1st clean, 2nd mid","[3, 3, 3]",ทูลแถลง | แจ้งข้อสุ | บินนิมิต,ทูลแถลงแจ้ง | ข้อสุ | บินนิมิต,ทูลแถลง | แจ้งข้อ | สุบินนิมิต,,
phraAphai_21.txt,พ่อให้แล้วทูลลากลับมาห้อง,"1st clean, 2nd mid","[3, 3, 3]",พ่อให้แล้ว | ทูลลากลับมา | ห้อง,พ่อให้แล้วทูล | ลากลับมา | ห้อง,พ่อให้แล้ว | ทูลลา | กลับมาห้อง,,
phraAphai_17.txt,ดูครื้นครึกโสภาพฤกษาไสว,"1st clean, 2nd mid","[3, 3, 3]",ดูครื้นครึก | โสภาพฤกษา | ไสว,ดูครื้นครึกโส | ภาพฤกษา | ไสว,ดูครื้นครึก | โสภา | พฤกษาไสว,,
phraAphai_29.txt,เมื่อยังเยาว์เล่าก็พรากจากกันไป,"1st clean, 2nd mid","[3, 3, 3]",เมื่อยังเยาว์ | เล่าก็พราก | จากกันไป,เมื่อยังเยาว์เล่า | ก็พราก | จากกันไป,เมื่อยังเยาว์ | เล่าก็ | พรากจากกันไป,,
